,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2009,4371500.0,810500.0,,
December 2009,4371500.0,810500.0,,
March 2010,4371500.0,810500.0,,
June 2010,4371500.0,810500.0,,
September 2010,4617000.0,1052000.0,,
December 2010,4991000.0,1735000.0,,
March 2011,4654000.0,1403000.0,,
June 2011,4824000.0,2102000.0,86810000.0,52394000.0
September 2011,5361000.0,1493000.0,86851000.0,53156000.0
December 2011,5400000.0,1733000.0,87271000.0,53196000.0
March 2012,6133000.0,1856000.0,90313000.0,55394000.0
June 2012,5131000.0,2463000.0,93194000.0,56226000.0
September 2012,6838000.0,801000.0,98696000.0,54923000.0
