,Assets,AssetsCurrent,AssetsNoncurrent
December 2010,60561530.0,5637808.0,54923722.0
March 2011,,,
June 2011,57191372.0,5946397.0,51244975.0
September 2011,57174012.0,7350891.0,49823121.0
December 2011,58030273.0,8985111.0,49045162.0
March 2012,57468639.0,10344739.0,47123900.0
June 2012,54542177.0,9380331.0,
September 2012,52550986.0,7116747.0,
December 2012,47469003.0,6689431.0,
March 2013,44742078.0,5007640.0,
June 2013,41182447.0,15729315.0,
September 2013,25843548.0,1141446.0,
December 2013,25023462.0,1004624.0,
March 2014,24348624.0,1090981.0,
June 2014,23816442.0,946590.0,
September 2014,23369649.0,936210.0,
December 2014,7659012.0,834335.0,
March 2015,7350816.0,689919.0,
June 2015,7188970.0,706762.0,
September 2015,4073023.0,662580.0,
December 2015,2588638.0,659058.0,
March 2016,2498948.0,660822.0,
June 2016,2415159.0,658610.0,
September 2016,2314377.0,650172.0,
December 2016,2789021.0,733477.0,
March 2017,2699325.0,734984.0,
June 2017,2834574.0,941245.0,
September 2017,2663623.0,1031877.0,
December 2017,2396915.0,561805.0,
March 2018,2386733.0,700681.0,
June 2018,2325636.0,485961.0,
September 2018,1268718.0,263616.0,
