,OperatingExpenses,Assets
March 2009,6532888.0,
June 2009,6532888.0,
September 2009,6532888.0,
December 2009,6532888.0,
March 2010,6279267.0,
June 2010,6532155.0,
September 2010,10848705.0,
December 2010,15088725.0,917058733.0
March 2011,11462557.0,
June 2011,5282137.0,1013761354.0
September 2011,23672616.0,1115466794.0
December 2011,9780507.0,1165044597.0
March 2012,10342486.0,1164966581.0
June 2012,10515360.0,1160569164.0
September 2012,10742405.0,1159252756.0
December 2012,10448535.0,1111588919.0
March 2013,10316182.0,1125138224.0
June 2013,10211403.0,1094915322.0
September 2013,9438810.0,1047583695.0
December 2013,15490849.0,1020224000.0
March 2014,8762745.0,962340545.0
June 2014,15974655.0,960366651.0
September 2014,9910815.0,969883428.0
December 2014,29245501.0,1030271728.0
March 2015,20975691.0,1166221818.0
June 2015,9537187.0,1068546903.0
September 2015,9376611.0,1080929569.0
December 2015,9126355.0,1067940895.0
March 2016,9106909.0,1033337625.0
June 2016,8620925.0,999148816.0
September 2016,8590215.0,971063013.0
December 2016,8163252.0,918241879.0
March 2017,7417477.0,825542729.0
June 2017,6537965.0,748822934.0
September 2017,5361594.0,693242934.0
December 2017,4079024.0,698099311.0
March 2018,3657480.0,643159522.0
June 2018,3361491.0,623385490.0
September 2018,3387112.0,598727943.0
