,Assets,AssetsCurrent,AssetsNoncurrent
March 2014,,,
June 2014,,,
September 2014,849758000.0,192484000.0,657274000.0
December 2014,813173000.0,148939000.0,664234000.0
March 2015,808954000.0,138761000.0,670193000.0
June 2015,834262000.0,145932000.0,688330000.0
September 2015,814063000.0,117254000.0,696809000.0
December 2015,735259000.0,82814000.0,652445000.0
March 2016,697380000.0,59472000.0,637908000.0
June 2016,693859000.0,62842000.0,631017000.0
September 2016,684472000.0,61542000.0,622930000.0
December 2016,674430000.0,74793000.0,599637000.0
