,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2020,4286500.0,2121000.0,-5386500.0,,
June 2020,4286500.0,2121000.0,-5386500.0,,
September 2020,12989000.0,7867000.0,-16465000.0,,
December 2020,11225000.0,8461000.0,-12719000.0,50141000.0,35674000.0
March 2021,20272000.0,11688000.0,-32021000.0,,
June 2021,24866000.0,19020000.0,-26908000.0,,
September 2021,30316000.0,23616000.0,-30389000.0,134916000.0,104054000.0
December 2021,47750000.0,17055000.0,-47857000.0,166673000.0,154129000.0
March 2022,18164000.0,11478000.0,-18263000.0,147528000.0,133348000.0
June 2022,17224000.0,10664000.0,-17252000.0,136996000.0,122022000.0
