,SellingGeneralAndAdministrativeExpense,Assets
March 2009,1178000.0,
June 2009,1178000.0,
September 2009,1178000.0,
December 2009,1178000.0,
March 2010,1132000.0,
June 2010,1081000.0,
September 2010,1310000.0,
December 2010,684000.0,263617000.0
March 2011,1009000.0,
June 2011,809000.0,282430000.0
September 2011,620000.0,270066000.0
December 2011,220000.0,245677000.0
March 2012,307000.0,239527000.0
