,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2008,18542250.0,-12352250.0,,
June 2008,18542250.0,-12352250.0,,
September 2008,18542250.0,-12352250.0,,
December 2008,18542250.0,-12352250.0,,
March 2009,18466000.0,-9196000.0,,
June 2009,20096000.0,-6534000.0,,
September 2009,17983000.0,6806000.0,,
December 2009,21157000.0,946000.0,,
March 2010,23819000.0,627000.0,479336000.0,261878000.0
June 2010,19763000.0,12902000.0,,
September 2010,28893000.0,-4574000.0,515838000.0,286384000.0
December 2010,23895000.0,1672000.0,537600000.0,310308000.0
March 2011,24527000.0,6177000.0,539092000.0,321536000.0
June 2011,22632000.0,11891000.0,,
September 2011,27296000.0,-3277000.0,552848000.0,289674000.0
December 2011,25895000.0,-4129000.0,523497000.0,270913000.0
March 2012,31956000.0,-17163000.0,513986000.0,265445000.0
