,NetIncomeLoss,Assets,AssetsCurrent
September 2013,-15844.0,,
December 2013,-103547.0,151282721.0,1187859.0
March 2014,-243158.0,151104120.0,1022506.0
June 2014,-236168.0,150884767.0,836558.0
September 2014,-256626.0,150653719.0,608396.0
December 2014,-788917.0,150347107.0,290212.0
March 2015,-426269.0,150153295.0,152965.0
June 2015,-2786492.0,150042658.0,42328.0
September 2015,,,
December 2015,,,
March 2016,3061000.0,,
June 2016,1803000.0,,
September 2016,3146000.0,,
December 2016,,727157000.0,19858000.0
March 2017,4238000.0,723398000.0,17383000.0
June 2017,5330000.0,715911000.0,13757000.0
September 2017,-229000.0,729821000.0,17290000.0
December 2017,40532000.0,742324000.0,19883000.0
March 2018,3229000.0,743134000.0,19517000.0
June 2018,4210000.0,749117000.0,21792000.0
September 2018,1664000.0,755519000.0,17582000.0
December 2018,3982000.0,758956000.0,32981000.0
March 2019,1425000.0,953506000.0,20146000.0
June 2019,2092000.0,955355000.0,13310000.0
September 2019,-9761000.0,960236000.0,32142000.0
December 2019,-104372000.0,862457000.0,18824000.0
March 2020,-102468000.0,793384000.0,45281000.0
June 2020,-576000.0,757844000.0,21792000.0
September 2020,6373000.0,745680000.0,15766000.0
December 2020,6933000.0,747309000.0,19747000.0
March 2021,2631000.0,744856000.0,19260000.0
June 2021,6002000.0,743754000.0,19563000.0
September 2021,-2164000.0,739667000.0,17287000.0
December 2021,-748000.0,727856000.0,15564000.0
