,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2015,2366750.0,1206750.0,1160000.0,-2790250.0,,
June 2015,2366750.0,1206750.0,1160000.0,-2790250.0,,
September 2015,2366750.0,1206750.0,1160000.0,-2790250.0,,
December 2015,2366750.0,1206750.0,1160000.0,-2790250.0,,
March 2016,3048000.0,1303000.0,1745000.0,-3924000.0,,
June 2016,4020000.0,2015000.0,2005000.0,-4916000.0,,
September 2016,4077000.0,1811000.0,2266000.0,-5229000.0,,
December 2016,4005000.0,2035000.0,1970000.0,-5354000.0,15529000.0,13566000.0
March 2017,5549000.0,2058000.0,3491000.0,-7298000.0,,
June 2017,6043000.0,2319000.0,3724000.0,-8022000.0,35425000.0,31586000.0
September 2017,5323000.0,1952000.0,3371000.0,-5999000.0,44068000.0,39531000.0
December 2017,6204000.0,2397000.0,3807000.0,-7664000.0,37326000.0,32762000.0
March 2018,5433000.0,1450000.0,3983000.0,-6443000.0,31279000.0,26760000.0
June 2018,5874000.0,1172000.0,4702000.0,-7583000.0,25546000.0,21088000.0
September 2018,4456000.0,883000.0,3573000.0,-7399000.0,30266000.0,26199000.0
December 2018,3928000.0,780000.0,3148000.0,-5296000.0,24004000.0,20234000.0
March 2019,4339000.0,1084000.0,3255000.0,-6010000.0,18463000.0,14957000.0
