,OperatingExpenses,NetIncomeLoss,Assets
March 2012,190025250.0,8176500.0,
June 2012,190025250.0,8176500.0,
September 2012,190025250.0,8176500.0,
December 2012,190025250.0,8176500.0,
March 2013,200221000.0,7672000.0,
June 2013,199303000.0,13950000.0,
September 2013,214723000.0,12753000.0,
December 2013,263316000.0,7934000.0,2837515000.0
March 2014,375919000.0,26392000.0,3422074000.0
June 2014,407081000.0,30334000.0,3778431000.0
September 2014,449062000.0,33319000.0,4396491000.0
December 2014,484854000.0,12198000.0,4324716000.0
March 2015,502258000.0,42322000.0,4629672000.0
June 2015,502489000.0,38527000.0,4707918000.0
September 2015,529584000.0,43113000.0,5084333000.0
December 2015,783587000.0,15448000.0,5556192000.0
March 2016,698576000.0,55222000.0,5774541000.0
June 2016,772352000.0,48470000.0,6500741000.0
September 2016,849330000.0,26590000.0,6842828000.0
December 2016,979559000.0,38789000.0,7244981000.0
March 2017,1048722000.0,36923000.0,7719781000.0
June 2017,1111483000.0,13332000.0,7807704000.0
September 2017,1016857000.0,57645000.0,8489033000.0
December 2017,1034445000.0,-2055000.0,8439743000.0
March 2018,1033881000.0,68208000.0,8669146000.0
June 2018,1076617000.0,44548000.0,9089734000.0
September 2018,1084513000.0,68382000.0,9249088000.0
December 2018,1140527000.0,26216000.0,9439280000.0
March 2019,1111821000.0,91758000.0,9631567000.0
June 2019,1157428000.0,77876000.0,9666656000.0
September 2019,1218288000.0,71154000.0,10073996000.0
December 2019,1236070000.0,107281000.0,9756534000.0
March 2020,1187809000.0,100759000.0,9860574000.0
June 2020,1092233000.0,166574000.0,10017843000.0
September 2020,1287420000.0,109969000.0,10224256000.0
December 2020,1290382000.0,136029000.0,10127894000.0
