,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2009,550000.0,6881500.0,-1704500.0,,,
March 2010,550000.0,6881500.0,-1704500.0,,,
June 2010,550000.0,6994000.0,-1173000.0,,,
September 2010,550000.0,9080000.0,-1162000.0,,,
December 2010,625000.0,8830000.0,1546000.0,,,
March 2011,625000.0,9254000.0,2349000.0,,,
June 2011,625000.0,9317000.0,4575000.0,,,
September 2011,625000.0,11092000.0,2654000.0,,,
December 2011,650000.0,9730000.0,4633000.0,,,
March 2012,650000.0,9288000.0,2962000.0,,,
June 2012,650000.0,10272000.0,3957000.0,,,
September 2012,650000.0,11870000.0,4086000.0,,,
December 2012,750000.0,8920000.0,2254000.0,,,
March 2013,750000.0,10679000.0,3183000.0,,,
June 2013,750000.0,10012000.0,854000.0,,,
September 2013,750000.0,11802000.0,1899000.0,,,
December 2013,850000.0,10600000.0,2369000.0,,,
March 2014,850000.0,11206000.0,3536000.0,,,
June 2014,850000.0,11869000.0,4375000.0,,,
September 2014,850000.0,12940000.0,4863000.0,,,
December 2014,975000.0,10454000.0,3766000.0,,,
March 2015,975000.0,10850000.0,3961000.0,,,
June 2015,975000.0,11351000.0,3683000.0,,,
September 2015,975000.0,12632000.0,4804000.0,,,
December 2015,1225000.0,11961000.0,3895000.0,,,
March 2016,1225000.0,11943000.0,3674000.0,,,
June 2016,1225000.0,12042000.0,2720000.0,,,
September 2016,1225000.0,14878000.0,3003000.0,,,
December 2016,1050000.0,11167000.0,879000.0,,,
March 2017,1050000.0,11714000.0,3646000.0,,,
June 2017,1050000.0,12395000.0,3888000.0,,,
September 2017,1050000.0,14385000.0,6702000.0,,,
December 2017,1175000.0,12966000.0,2937000.0,,,
March 2018,1175000.0,13320000.0,3751000.0,,,
June 2018,1175000.0,15160000.0,6500000.0,,,
September 2018,1175000.0,16564000.0,8302000.0,,,
December 2018,1100000.0,13914000.0,6654000.0,,,
March 2019,1100000.0,14111000.0,5252000.0,,,
June 2019,1100000.0,12592000.0,3491000.0,,,
September 2019,1100000.0,14051000.0,2098000.0,,,
December 2019,875000.0,10846000.0,-893000.0,,,
March 2020,875000.0,10599000.0,-3927000.0,,,
June 2020,875000.0,9627000.0,2162000.0,,,
September 2020,875000.0,10344000.0,-3589000.0,,,
December 2020,800000.0,10568000.0,663000.0,,,
March 2021,800000.0,11273000.0,2437000.0,,,
June 2021,800000.0,10331000.0,1568000.0,,,
September 2021,800000.0,13829000.0,2096000.0,,,
