,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2019,1080750.0,980000.0,-1079000.0,,
June 2019,1080750.0,980000.0,-1079000.0,,
September 2019,1080750.0,980000.0,-1079000.0,,
December 2019,1080750.0,980000.0,-1079000.0,,
March 2020,1043000.0,795000.0,-1693000.0,,
June 2020,2486000.0,1947000.0,-2453000.0,,
September 2020,7868000.0,4673000.0,-7844000.0,,
December 2020,10131000.0,6289000.0,-10131000.0,342722000.0,342137000.0
March 2021,15450000.0,10692000.0,-15339000.0,331301000.0,330265000.0
June 2021,16522000.0,11910000.0,-16406000.0,322230000.0,320854000.0
September 2021,17762000.0,12523000.0,-17713000.0,309795000.0,308280000.0
December 2021,21757000.0,15975000.0,-21638000.0,295945000.0,290685000.0
March 2022,23254000.0,16009000.0,-23030000.0,277418000.0,270214000.0
June 2022,33293000.0,27054000.0,-32858000.0,250600000.0,243026000.0
