,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2007,-0.0625,,0.0,,,
March 2008,-0.0625,,0.0,,,
June 2008,-0.0625,,0.0,,,
September 2008,-0.0625,,0.0,,,
December 2008,-0.0625,,0.0,,,
March 2009,-0.0625,,0.0,,,
June 2009,-0.0625,,0.0,,,
September 2009,-0.0625,,0.0,,,
December 2009,-0.0625,,0.0,,,
March 2010,-0.0625,,0.0,,,
June 2010,-0.0625,,0.0,,,
September 2010,-0.0625,,0.0,,,
December 2010,-0.0625,,0.0,,,
March 2011,-0.0625,,0.0,,,
June 2011,-0.0625,,0.0,,,
September 2011,-0.0625,,0.0,,,
December 2011,2894.0,,-2893.0,,,
March 2012,8874.0,,-8874.0,,,
June 2012,4337.0,,-4354.0,,,
September 2012,4323.0,,-4423.0,,,
December 2012,2220.0,,-2320.0,8353.0,7407.0,946.0
March 2013,8163.0,,-8263.0,,,
June 2013,3952.0,,-4063.0,1150.0,1146.0,
September 2013,3997.0,,-4130.0,3098.0,2323.0,775.0
December 2013,6694.0,,-6867.0,955.0,237.0,718.0
March 2014,12439.0,,-12679.0,703.0,42.0,661.0
June 2014,3558.0,,-3558.0,1942.0,1942.0,
September 2014,6491.0,,-6273.0,346771.0,96771.0,
December 2014,20128.0,,-21508.0,592777.0,92777.0,
March 2015,28157.0,28157.0,-28157.0,2345859.0,525859.0,
June 2015,28728.0,,-28454.0,2336735.0,516735.0,
September 2015,12372.0,,-11658.0,2340018.0,520018.0,
December 2015,,,-349056.0,8109.0,8109.0,
March 2016,41546.0,41546.0,14881.0,98970.0,98970.0,
June 2016,26944.0,,9226.0,67040.0,67040.0,
September 2016,119449.0,,-6324.0,,,
December 2016,127216.0,,116508.0,277857.0,274357.0,3500.0
March 2017,67617.0,67616.0,33300.0,310580.0,306880.0,3700.0
June 2017,86466.0,86466.0,-17439.0,293829.0,290129.0,3700.0
September 2017,-28000.0,,-3899.0,237403.0,233703.0,3700.0
December 2017,79877.0,,-94815.0,188631.0,185131.0,2380.0
March 2018,13164.0,13164.0,13886.0,232580.0,229080.0,3500.0
June 2018,130850.0,17459.0,7815.0,290822.0,287322.0,3500.0
September 2018,-50929.0,,-8611.0,525672.0,487172.0,38500.0
December 2018,97644.0,,6877.0,1388254.0,617634.0,29008.0
March 2019,68418.0,,-34405.0,1387591.0,615971.0,29008.0
June 2019,115390.0,,-34405.0,1556891.0,783269.0,
September 2019,72128.0,,32584.0,1642270.0,867359.0,745803.0
December 2019,174668.0,,-85584.0,1608123.0,896976.0,24673.0
March 2020,42155.5,,25214.0,1695858.0,984711.0,
June 2020,42155.5,,79858.0,1971644.0,1258048.0,
September 2020,151474.0,,-27616.0,1940680.0,1224484.0,
December 2020,157469.0,,773154.0,3662186.0,2065007.0,
March 2021,129245.0,,48708.0,3734437.0,2136003.0,
June 2021,129245.0,,64518.0,4109180.0,2510746.0,
September 2021,129245.0,,-22.0,4011118.0,2412684.0,
December 2021,129245.0,,430694.0,4186416.0,2640415.0,
March 2022,,,-2602289.0,960186.0,354186.0,
June 2022,,,-78478.0,831562.0,227245.0,
