,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,3288250.0,5912500.0,3074250.0,,,
June 2009,3288250.0,5912500.0,3074250.0,,,
September 2009,3288250.0,5912500.0,3074250.0,,,
December 2009,3288250.0,5912500.0,3074250.0,,,
March 2010,4284000.0,6477000.0,2843500.0,,,
June 2010,4907000.0,6368000.0,2843500.0,,,
September 2010,7569000.0,10465000.0,2141000.0,,,
December 2010,9248000.0,10433000.0,-3954000.0,340399000.0,228951000.0,
March 2011,10103000.0,10147000.0,139000.0,,,
June 2011,10055000.0,10648000.0,3204000.0,369524000.0,231210000.0,
September 2011,10879000.0,11118000.0,3575000.0,369470000.0,228140000.0,
December 2011,10504000.0,12973000.0,8208000.0,398618000.0,198320000.0,
March 2012,12876000.0,10390000.0,5483000.0,399898000.0,206330000.0,
June 2012,12570000.0,11060000.0,11949000.0,412724000.0,183040000.0,
September 2012,12645000.0,10278000.0,6202000.0,421933000.0,202882000.0,
December 2012,14216000.0,14952000.0,3449000.0,452439000.0,156904000.0,
March 2013,16718000.0,14652000.0,476000.0,467300000.0,159979000.0,
June 2013,16358000.0,14943000.0,3412000.0,485400000.0,160913000.0,
September 2013,16554000.0,15562000.0,3590000.0,503743000.0,161505000.0,
December 2013,15215000.0,16939000.0,15873000.0,527019000.0,161627000.0,
March 2014,15541000.0,17125000.0,7584000.0,533540000.0,175098000.0,
June 2014,17305000.0,17149000.0,8364000.0,555577000.0,195646000.0,
September 2014,21056000.0,21382000.0,9327000.0,857043000.0,440789000.0,
December 2014,19718000.0,23571000.0,13620000.0,862822000.0,441933000.0,
March 2015,21953000.0,19132000.0,10561000.0,846492000.0,379351000.0,
June 2015,22462000.0,18717000.0,7409000.0,901779000.0,426809000.0,
September 2015,23986000.0,21003000.0,9645000.0,921639000.0,404384000.0,
December 2015,24193000.0,26505000.0,-15176000.0,1015350000.0,406945000.0,
March 2016,25827000.0,25914000.0,-7331000.0,1133563000.0,390326000.0,
June 2016,26170000.0,30618000.0,7832000.0,1123032000.0,385635000.0,
September 2016,31030000.0,28827000.0,-2667000.0,1124729000.0,405841000.0,
December 2016,29589000.0,41607000.0,36058000.0,1164729000.0,364453000.0,
March 2017,25489000.0,38815000.0,-58697000.0,2048141000.0,465206000.0,
June 2017,20819000.0,29353000.0,-26568000.0,2037417000.0,447767000.0,
September 2017,20926000.0,34881000.0,-35088000.0,2001980000.0,436285000.0,
December 2017,23616000.0,50988000.0,14247000.0,965411000.0,370979000.0,
March 2018,20905000.0,38110000.0,-40045000.0,982900000.0,390581000.0,
June 2018,20200000.0,33938000.0,-47265000.0,928111000.0,340502000.0,
September 2018,18684000.0,27320000.0,-54529000.0,894344000.0,347458000.0,
December 2018,19383000.0,22744000.0,-101909000.0,703255000.0,294454000.0,
March 2019,19681000.0,29246000.0,-27587000.0,714635000.0,270884000.0,
June 2019,19026000.0,23080000.0,-25030000.0,643904000.0,217509000.0,
September 2019,18575000.0,30536000.0,-69432000.0,515962000.0,115715000.0,
December 2019,18286000.0,29909000.0,-14678000.0,532023000.0,142897000.0,389126000.0
March 2020,19788000.0,26344000.0,-12276000.0,512794000.0,135642000.0,377152000.0
June 2020,19096000.0,24640000.0,-10148000.0,521652000.0,147991000.0,373661000.0
September 2020,20885000.0,23265000.0,-15367000.0,498574000.0,137481000.0,361093000.0
December 2020,17274000.0,15043000.0,-10892000.0,482255000.0,121367000.0,360888000.0
March 2021,17397000.0,17928000.0,,465130000.0,116915000.0,348215000.0
June 2021,17197000.0,21909000.0,,463690000.0,117830000.0,345860000.0
September 2021,15368000.0,27953000.0,,448375000.0,110453000.0,337922000.0
December 2021,14375000.0,17201000.0,,450734000.0,121991000.0,328743000.0
March 2022,15791000.0,17897000.0,,439084000.0,116637000.0,322447000.0
June 2022,13460000.0,15288000.0,,416868000.0,116581000.0,300287000.0
