,NetIncomeLoss,Assets
March 2018,14146666.666666666,
June 2018,14146666.666666666,
September 2018,14146666.666666666,
December 2018,,100.0
March 2019,0.0,100.0
June 2019,12828000.0,5072347000.0
September 2019,29612000.0,5622680000.0
December 2019,41329000.0,5095334000.0
March 2020,43928000.0,5184716000.0
June 2020,30496000.0,5463881000.0
September 2020,36812000.0,5537353000.0
December 2020,55060000.0,5679850000.0
March 2021,67859000.0,5808934000.0
June 2021,55316000.0,5864890000.0
September 2021,54763000.0,5936500000.0
December 2021,48890000.0,5990180000.0
March 2022,82965000.0,6001123000.0
June 2022,68344000.0,5989538000.0
