,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2008,,,,
June 2008,,,,
September 2008,,,,
December 2008,,,,
March 2009,91749000.0,17362000.0,48317250.0,
June 2009,86524000.0,11062000.0,48317250.0,
September 2009,115672000.0,10363000.0,48317250.0,
December 2009,84163000.0,10904000.0,48317250.0,6367186000.0
March 2010,124163000.0,16821000.0,31321000.0,
June 2010,117068000.0,11878000.0,51130000.0,7079331000.0
September 2010,183105000.0,11628000.0,784000.0,7893067000.0
December 2010,158357000.0,14299000.0,45292000.0,9451734000.0
March 2011,245235000.0,17714000.0,32052000.0,13258044000.0
June 2011,328008000.0,19562000.0,87200000.0,13480661000.0
September 2011,333896000.0,19735000.0,53841000.0,13861089000.0
December 2011,310311000.0,20190000.0,44517000.0,14924606000.0
March 2012,381820000.0,27751000.0,58514000.0,15859734000.0
June 2012,407198000.0,25870000.0,77696000.0,16347426000.0
September 2012,423751000.0,23679000.0,,
December 2012,406363000.0,20041000.0,,19549109000.0
March 2013,645902000.0,27179000.0,,20788972000.0
June 2013,634807000.0,23902000.0,,22196393000.0
September 2013,752081000.0,28718000.0,,23049805000.0
December 2013,745573000.0,28519000.0,,23083957000.0
March 2014,729251000.0,32865000.0,,23211042000.0
June 2014,738850000.0,51660000.0,,23573890000.0
September 2014,731922000.0,30803000.0,,24541722000.0
December 2014,759310000.0,27615000.0,,24962923000.0
March 2015,729256000.0,35138000.0,,26629395000.0
June 2015,806452000.0,38474000.0,,27407482000.0
September 2015,782499000.0,36950000.0,,27456366000.0
December 2015,905502000.0,36854000.0,,29023845000.0
March 2016,879481000.0,45691000.0,,29088293000.0
June 2016,865992000.0,39914000.0,,28964501000.0
September 2016,885299000.0,36828000.0,,29856339000.0
December 2016,941135000.0,32808000.0,,28865184000.0
March 2017,943429000.0,31101000.0,,27767277000.0
June 2017,901786000.0,32632000.0,,27975786000.0
September 2017,1006545000.0,29913000.0,,28180379000.0
December 2017,1165265000.0,28362000.0,,27944445000.0
March 2018,977577000.0,33705000.0,,27746659000.0
June 2018,966802000.0,32831000.0,,27618982000.0
September 2018,1175479000.0,28746000.0,,30249119000.0
December 2018,1157151000.0,31101000.0,,30342072000.0
March 2019,1135931000.0,35282000.0,,30637336000.0
June 2019,1157736000.0,33741000.0,,33148697000.0
September 2019,1187745000.0,31019000.0,,31863955000.0
December 2019,,26507000.0,,33380751000.0
March 2020,,35481000.0,,32923028000.0
June 2020,,34062000.0,,33162652000.0
September 2020,,31003000.0,,32541597000.0
December 2020,,27848000.0,,32483642000.0
March 2021,,29926000.0,,32992251000.0
June 2021,,31436000.0,,32176116000.0
September 2021,,32256000.0,,33480025000.0
December 2021,,33109000.0,,34910325000.0
March 2022,,37706000.0,,35472453000.0
June 2022,,36554000.0,,36573671000.0
