,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,2164250.0,33800000.0,8300000.0,,,
June 2009,2164250.0,33800000.0,8300000.0,,,
September 2009,2164250.0,33800000.0,8300000.0,,,
December 2009,2164250.0,33800000.0,8300000.0,734260000.0,,
March 2010,2307750.0,33787000.0,6128000.0,,,
June 2010,2307750.0,37031000.0,16149000.0,,,
September 2010,2307750.0,35604000.0,17417000.0,,,
December 2010,2307750.0,38578000.0,-10794000.0,807800000.0,355700000.0,452100000.0
March 2011,1900000.0,39100000.0,13300000.0,842700000.0,,
June 2011,2300000.0,41000000.0,13200000.0,838641000.0,403843000.0,434798000.0
September 2011,2400000.0,43937000.0,19425000.0,833680000.0,406468000.0,427212000.0
December 2011,2479000.0,41763000.0,12800000.0,850600000.0,407900000.0,442700000.0
March 2012,2500000.0,43300000.0,13400000.0,850100000.0,405200000.0,444900000.0
June 2012,2600000.0,43600000.0,21600000.0,869000000.0,418400000.0,450600000.0
September 2012,2000000.0,41800000.0,18800000.0,912800000.0,442300000.0,470500000.0
December 2012,1300000.0,39000000.0,11000000.0,910600000.0,429500000.0,481100000.0
March 2013,3100000.0,46800000.0,10500000.0,915000000.0,429900000.0,485100000.0
June 2013,3000000.0,47000000.0,16600000.0,948100000.0,459100000.0,489000000.0
September 2013,3200000.0,42000000.0,-19800000.0,911000000.0,491300000.0,419700000.0
December 2013,1300000.0,44000000.0,22900000.0,878700000.0,460500000.0,418200000.0
