,OperatingExpenses,NetIncomeLoss,Assets
March 2014,28022500.0,5075250.0,
June 2014,28022500.0,5075250.0,
September 2014,28022500.0,5075250.0,
December 2014,28022500.0,5075250.0,
March 2015,32252000.0,4200000.0,
June 2015,32417000.0,5201000.0,
September 2015,33714000.0,7542000.0,
December 2015,34981000.0,6921000.0,2301448000.0
March 2016,37695000.0,8027000.0,
June 2016,40115000.0,7704000.0,2566942000.0
September 2016,41138000.0,7402000.0,2586501000.0
December 2016,41070000.0,9621000.0,2662969000.0
March 2017,42974000.0,10170000.0,2748537000.0
June 2017,44966000.0,8309000.0,2825708000.0
