,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2013,,0.0,,,
December 2013,,0.0,,,
March 2014,,0.0,,,
June 2014,,0.0,,,
September 2014,14368.0,438.0,,,
December 2014,14354.0,6167.0,,,
March 2015,10849.0,-30254.0,,,
June 2015,19220.0,-10688.0,,,
September 2015,14547.0,-14025.0,17848.0,,
December 2015,1879.0,-52535.0,13823.0,,
March 2016,26370.0,-10437.0,13289.0,,
June 2016,23527.0,-10376.0,12852.0,,
September 2016,-13283.0,-10355.0,12475.0,,
December 2016,12483.0,-8944.0,12120.0,,
March 2017,11512.0,-10247.0,13176.0,,
June 2017,-54441.0,-6451.0,12928.0,,
September 2017,-23701.0,-23701.0,468.0,468.0,
December 2017,20455.0,-20455.0,468.0,,
March 2018,21374.0,-21374.0,468.0,468.0,
June 2018,-95977.0,-12319.0,468.0,468.0,
September 2018,-4127.0,-4127.0,468.0,468.0,
December 2018,8251.0,-8251.0,468.0,468.0,
March 2019,11190.0,-11190.0,2976.0,468.0,
June 2019,140704.0,-132450.0,42487.0,28711.0,
September 2019,77681.0,-77681.0,20478.0,15691.0,
December 2019,165008.0,-165008.0,10680.0,5893.0,
March 2020,209346.0,-209346.0,33453.0,28666.0,
June 2020,228435.0,42121.0,50762.0,45975.0,
September 2020,278528.0,-939319.0,510289.0,72692.0,
December 2020,1330596.0,-1506244.0,690079.0,96615.0,
March 2021,340326.0,-315092.0,681994.0,37252.0,
June 2021,367746.0,-355514.0,680764.0,83611.0,
September 2021,1435686.0,-1432171.0,685387.0,95137.0,590250.0
December 2021,1082427.0,-1183954.0,584336.0,40682.0,
