,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2017,28325000.0,40350000.0,,,
June 2017,28325000.0,40350000.0,,,
September 2017,28325000.0,40350000.0,,,
December 2017,28325000.0,40350000.0,1434400000.0,,
March 2018,32600000.0,48300000.0,,,
June 2018,31300000.0,49800000.0,1416200000.0,,
September 2018,31700000.0,39000000.0,1430400000.0,,
December 2018,28200000.0,46600000.0,1500200000.0,453500000.0,701500000.0
March 2019,33600000.0,54500000.0,2016600000.0,,
June 2019,33700000.0,51300000.0,2010300000.0,419200000.0,1349700000.0
September 2019,38900000.0,41800000.0,2079900000.0,426600000.0,1408800000.0
December 2019,36200000.0,45600000.0,2151200000.0,460000000.0,1691200000.0
March 2020,38000000.0,44700000.0,2215500000.0,475800000.0,1739700000.0
June 2020,34300000.0,33200000.0,2273500000.0,524600000.0,1748900000.0
September 2020,34900000.0,52800000.0,2388800000.0,618800000.0,1770000000.0
December 2020,37700000.0,64100000.0,2528900000.0,692000000.0,1836900000.0
March 2021,43400000.0,72500000.0,2625800000.0,763800000.0,1862000000.0
June 2021,43700000.0,82900000.0,2672700000.0,701700000.0,1971000000.0
September 2021,49800000.0,65700000.0,2812700000.0,811100000.0,2001600000.0
December 2021,55400000.0,73300000.0,3154300000.0,769900000.0,2384400000.0
March 2022,54300000.0,81500000.0,3155500000.0,731700000.0,2423800000.0
June 2022,47500000.0,82700000.0,3125600000.0,686600000.0,2439000000.0
