,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
December 2015,1036605.75,-974067.5,,
March 2016,1036605.75,-974067.5,,
June 2016,1036605.75,-974067.5,,
September 2016,1036605.75,-974067.5,1623358.0,956317.0
December 2016,600266.0,-697495.0,2688852.0,
March 2017,1082650.0,-288204.0,4438666.0,
June 2017,853670.0,-141909.0,5107961.0,
September 2017,822277.0,-258560.0,7069439.0,3693676.0
December 2017,1687644.0,-1264782.0,15298993.0,12051143.0
March 2018,937123.0,1642920.0,15751026.0,12180046.0
June 2018,1464239.0,565253.0,16470284.0,12521155.0
September 2018,1540765.0,-880557.0,15017612.0,11790147.0
December 2018,1391812.0,-690239.0,96437404.0,15731935.0
March 2019,5939343.0,-31850274.0,94835227.0,14144223.0
June 2019,11542628.0,-29202956.0,100908628.0,22186077.0
September 2019,10437981.0,0.0,94518122.0,15743035.0
December 2019,12560297.0,12929763.0,101796640.0,14874171.0
March 2020,12267637.0,14883772.0,112583349.0,24885267.0
June 2020,8226029.0,-8952702.0,111310797.0,24111750.0
September 2020,10896899.0,-6258562.0,110842801.0,23712252.0
December 2020,10657973.0,-9395621.0,124078753.0,37375449.0
March 2021,12323207.0,-12510474.0,121057878.0,34746335.0
June 2021,13865191.0,1537288.0,115522296.0,29983213.0
September 2021,12755319.0,-2917082.0,124883376.0,36502360.0
December 2021,11955284.0,-19160904.0,99326697.0,29678529.0
March 2022,11452700.0,-4657215.0,92988029.0,24327090.0
June 2022,,-31634143.0,57137755.0,19858328.0
