,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
September 2016,3562.0,,,-3562.0,
December 2016,250.0,,,-250.0,
March 2017,650.0,0.0,5486.5,-650.0,
June 2017,11950.0,10200.0,5486.5,-11950.0,
September 2017,7119.0,0.0,5486.5,-7119.0,1581.0
December 2017,14485.0,2058.0,5486.5,-14485.0,75229.0
March 2018,46806.0,12018.0,28291.25,-46806.0,32423.0
June 2018,36544.0,24917.0,28291.25,-36544.0,6049.0
September 2018,47155.0,10197.0,28291.25,-47155.0,2490.0
December 2018,21872.0,-7920.0,28291.25,-21872.0,1549.0
