,OperatingExpenses,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,43068500.0,,,
June 2009,43068500.0,,,
September 2009,43068500.0,,,
December 2009,43068500.0,,,
March 2010,45128000.0,,,
June 2010,45928000.0,,,
September 2010,37959000.0,,,
December 2010,45480000.0,811732000.0,108146000.0,41350000.0
March 2011,47277000.0,,,
June 2011,46917000.0,833181000.0,110362000.0,39539000.0
September 2011,45765000.0,851544000.0,126453000.0,41135000.0
December 2011,50952000.0,854430000.0,118675000.0,48972000.0
March 2012,49528000.0,860563000.0,123304000.0,50411000.0
June 2012,44513000.0,811068000.0,66985000.0,50350000.0
September 2012,45773000.0,825520000.0,80645000.0,52762000.0
December 2012,45914000.0,872923000.0,113060000.0,53566000.0
March 2013,47314000.0,869685000.0,100129000.0,54606000.0
June 2013,46539000.0,880604000.0,95413000.0,55819000.0
September 2013,48564000.0,890647000.0,89461000.0,56391000.0
December 2013,49266000.0,901173000.0,86135000.0,48897000.0
March 2014,53721000.0,919316000.0,89418000.0,49485000.0
June 2014,46959000.0,927397000.0,81483000.0,50836000.0
September 2014,48722000.0,952849000.0,80604000.0,55176000.0
December 2014,49972000.0,1055389000.0,165376000.0,80135000.0
March 2015,48793000.0,1082616000.0,194398000.0,80431000.0
June 2015,46895000.0,1084949000.0,192569000.0,84165000.0
September 2015,48655000.0,1105913000.0,207104000.0,77078000.0
December 2015,45607000.0,1119493000.0,199707000.0,71869000.0
March 2016,47862000.0,1084548000.0,161838000.0,71470000.0
June 2016,43083000.0,1092488000.0,156328000.0,72689000.0
September 2016,44318000.0,1098615000.0,136041000.0,76303000.0
December 2016,46789000.0,1093749000.0,113518000.0,77831000.0
March 2017,50418000.0,1108558000.0,114409000.0,76990000.0
June 2017,48341000.0,1107941000.0,95558000.0,75035000.0
September 2017,50240000.0,1115029000.0,89337000.0,
December 2017,55608000.0,1103146000.0,81890000.0,
March 2018,53451000.0,1114601000.0,85316000.0,
June 2018,51181000.0,1118348000.0,82440000.0,
September 2018,56639000.0,1131648000.0,79231000.0,
December 2018,58474000.0,1161288000.0,85105000.0,
March 2019,54399000.0,1190394000.0,91444000.0,
June 2019,51936000.0,1205746000.0,83101000.0,
September 2019,55018000.0,1226345000.0,81921000.0,
December 2019,45929000.0,1260357000.0,87863000.0,
March 2020,50418000.0,1278692000.0,95852000.0,
June 2020,44860000.0,1303207000.0,95456000.0,
September 2020,54536000.0,1336125000.0,95121000.0,
