,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2008,258589250.0,76360250.0,,
June 2008,258589250.0,76360250.0,,
September 2008,258589250.0,76360250.0,,
December 2008,258589250.0,76360250.0,,
March 2009,272030000.0,91387000.0,,
June 2009,286158000.0,103407000.0,,
September 2009,286511000.0,105080000.0,,
December 2009,286114000.0,142883000.0,,
March 2010,294472000.0,142347000.0,,
June 2010,303402000.0,129276000.0,,
September 2010,312277000.0,121378000.0,,
December 2010,319624000.0,161796000.0,,
March 2011,309160000.0,172973000.0,,
June 2011,320885000.0,148276000.0,,
September 2011,332226000.0,143969000.0,,
December 2011,341794000.0,191952000.0,,
March 2012,337811000.0,208613000.0,,
June 2012,352089000.0,182024000.0,,
September 2012,357983000.0,159524000.0,,
December 2012,390003000.0,236602000.0,,
March 2013,361968000.0,234612000.0,,
June 2013,381193000.0,213121000.0,,
September 2013,381860000.0,171618000.0,,
December 2013,401345000.0,217953000.0,,
March 2014,379802000.0,243913000.0,,
June 2014,395225000.0,239561000.0,,
September 2014,410002000.0,192720000.0,,
December 2014,430342000.0,248530000.0,,
March 2015,409298000.0,282205000.0,,
June 2015,435226000.0,258639000.0,,
September 2015,443354000.0,215656000.0,,
December 2015,450877000.0,264161000.0,,
March 2016,436924000.0,290634000.0,,
June 2016,469511000.0,281906000.0,,
September 2016,490171000.0,244546000.0,,
December 2016,493802000.0,300568000.0,,
March 2017,474819000.0,321018000.0,,
June 2017,498276000.0,316539000.0,,
September 2017,517297000.0,274449000.0,,
December 2017,553306000.0,450747000.0,,
March 2018,524423000.0,418252000.0,,
June 2018,554581000.0,389404000.0,,
September 2018,561577000.0,338108000.0,,
December 2018,575969000.0,441693000.0,,
March 2019,558250000.0,421142000.0,,
June 2019,591970000.0,412721000.0,,
September 2019,604605000.0,370932000.0,,
December 2019,601879000.0,456133000.0,,
March 2020,415305000.0,-305842000.0,,
June 2020,519495000.0,22047000.0,,
September 2020,877857000.0,131197000.0,,
December 2020,690624000.0,237980000.0,,
March 2021,675053000.0,476479000.0,,
June 2021,717788000.0,494258000.0,,
September 2021,725761000.0,385030000.0,,
December 2021,755867000.0,366822000.0,,
March 2022,669496000.0,338445000.0,,
June 2022,667063000.0,384517000.0,,
