,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,9522000.0,7422250.0,2248500.0,,
June 2009,9522000.0,7422250.0,2248500.0,,
September 2009,9522000.0,7422250.0,2248500.0,,
December 2009,9522000.0,7422250.0,2248500.0,,
March 2010,9797000.0,7436000.0,2361000.0,,
June 2010,8976000.0,7269000.0,2407000.0,,
September 2010,9515000.0,7161000.0,2354000.0,,
December 2010,8798000.0,6528000.0,2320000.0,129098000.0,116623000.0
March 2011,11613000.0,7992000.0,3621000.0,,
June 2011,10824000.0,7992000.0,3532000.0,135260000.0,126653000.0
September 2011,20126000.0,13546000.0,5095000.0,277076000.0,130655000.0
December 2011,21939000.0,14365000.0,4594000.0,276948000.0,136570000.0
March 2012,20564000.0,14065000.0,4342000.0,274500000.0,129585000.0
June 2012,20285000.0,15394000.0,3650000.0,269306000.0,132063000.0
September 2012,26585000.0,13633000.0,4188000.0,269912000.0,139037000.0
December 2012,22777000.0,17326000.0,3482000.0,275164000.0,146507000.0
March 2013,23905000.0,17865000.0,4135000.0,266079000.0,146733000.0
June 2013,23727000.0,18153000.0,3691000.0,262560000.0,144616000.0
