,Assets,AssetsCurrent
June 2014,,
September 2014,,
December 2014,,
March 2015,1099101270.0,233211457.0
June 2015,1240826724.0,166486165.0
September 2015,1488041949.0,138475064.0
December 2015,1823011675.0,98254221.0
March 2016,1842178176.0,105559417.0
June 2016,1818212387.0,96399367.0
September 2016,1786002314.0,80637311.0
December 2016,1760213403.0,62880666.0
March 2017,1746234880.0,63971128.0
June 2017,1709526648.0,77953462.0
September 2017,1698062144.0,82417694.0
December 2017,1706199091.0,92401081.0
March 2018,1736110156.0,135206880.0
June 2018,1701148703.0,103721195.0
September 2018,1679160894.0,95533544.0
December 2018,1659567083.0,97562157.0
March 2019,1625370017.0,82589069.0
June 2019,1619105623.0,92874307.0
September 2019,1642210973.0,124470888.0
December 2019,1657833030.0,143823530.0
March 2020,1671959843.0,139614755.0
June 2020,1696936387.0,216061922.0
September 2020,1674099810.0,209419955.0
December 2020,1665043104.0,218187285.0
March 2021,1581614845.0,153343247.0
June 2021,1564587087.0,180916596.0
September 2021,1511598926.0,146288302.0
December 2021,1528244782.0,217457943.0
March 2022,1607362093.0,307893252.0
June 2022,1523448528.0,230234938.0
