,OperatingExpenses,NetIncomeLoss,AssetsCurrent
June 2013,29149.333333333332,-29149.333333333332,
September 2013,29149.333333333332,-29149.333333333332,
December 2013,29149.333333333332,-29149.333333333332,550.0
