,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2014,96900000.0,354075000.0,,
June 2014,96900000.0,354075000.0,,
September 2014,96900000.0,354075000.0,,
December 2014,96900000.0,354075000.0,7355600000.0,
March 2015,95100000.0,341500000.0,,
June 2015,95900000.0,333200000.0,,
September 2015,95700000.0,349700000.0,,
December 2015,91000000.0,328200000.0,7210600000.0,1594100000.0
March 2016,93700000.0,338500000.0,,
June 2016,96700000.0,349300000.0,7787100000.0,2162000000.0
September 2016,95200000.0,354500000.0,8133300000.0,2359200000.0
December 2016,99200000.0,359700000.0,8189800000.0,2488700000.0
March 2017,96200000.0,352900000.0,8234300000.0,2517400000.0
June 2017,99100000.0,357700000.0,8467100000.0,2701700000.0
September 2017,102000000.0,380700000.0,9327000000.0,2695300000.0
December 2017,108700000.0,446300000.0,10500600000.0,2936800000.0
March 2018,108900000.0,423700000.0,10655400000.0,3079700000.0
June 2018,111000000.0,445500000.0,11986100000.0,4503400000.0
September 2018,103700000.0,440600000.0,13862800000.0,3414300000.0
December 2018,90700000.0,418800000.0,12905600000.0,3171200000.0
March 2019,109000000.0,486400000.0,15656200000.0,5796300000.0
June 2019,117400000.0,537100000.0,16468100000.0,3436300000.0
September 2019,119100000.0,566500000.0,16660400000.0,3465900000.0
December 2019,111200000.0,629500000.0,17439000000.0,3688800000.0
March 2020,113700000.0,557200000.0,16931700000.0,3445600000.0
June 2020,77400000.0,402800000.0,16705700000.0,3250400000.0
September 2020,110700000.0,562300000.0,17199700000.0,3774700000.0
December 2020,18900000.0,226100000.0,16051500000.0,4446900000.0
March 2021,86200000.0,428100000.0,14278900000.0,2800900000.0
June 2021,87800000.0,456400000.0,14495500000.0,3086400000.0
September 2021,87800000.0,455600000.0,14976100000.0,2425300000.0
December 2021,93000000.0,499400000.0,16465500000.0,2514900000.0
March 2022,99100000.0,480600000.0,16266400000.0,2447700000.0
June 2022,100100000.0,484900000.0,16070900000.0,2445300000.0
