,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2003,-850.0,,,
March 2004,-850.0,,,
June 2004,-850.0,,,
September 2004,-850.0,,,
December 2004,-2831.0,,,
March 2005,-2831.0,,,
June 2005,-2831.0,,,
September 2005,-2831.0,,,
December 2005,-5420.5,,,
March 2006,-5420.5,,,
June 2006,-5420.5,,,
September 2006,-5420.5,,,
December 2006,-4564.0,,,
March 2007,-4564.0,,,
June 2007,-4564.0,,,
September 2007,-4564.0,,,
December 2007,-5418.5,,,
March 2008,-5418.5,,,
June 2008,-5418.5,,,
September 2008,-5418.5,,,
December 2008,-2822.25,,,
March 2009,-2822.25,,,
June 2009,-2822.25,,,
September 2009,-2822.25,,,
December 2009,-2890.5,,,
March 2010,-2890.5,,,
June 2010,-2890.5,,,
September 2010,-2890.5,,,
December 2010,-5737.0,,,
March 2011,-3224.0,,,
June 2011,-27112.0,,,
September 2011,-24757.0,87505.0,87505.0,
December 2011,-31460.0,89738.0,89738.0,
March 2012,-75739.0,15010.0,15010.0,
June 2012,-1109007.0,1033407.0,1033407.0,
September 2012,-321069.0,752382.0,752382.0,
December 2012,-396376.0,327799.0,327799.0,
March 2013,-1123808.0,12606715.0,23788.0,
June 2013,-512306.0,17599446.0,2973305.0,14626141.0
September 2013,-15420023.0,2904978.0,2816030.0,88948.0
December 2013,-2148857.0,6290482.0,6193288.0,
March 2014,-1941233.0,11099057.0,9279751.0,
June 2014,-612652.0,1752500.0,335008.0,
September 2014,-807130.0,8257930.0,5943981.0,2313949.0
December 2014,-848191.0,8046203.0,4524133.0,3522070.0
March 2015,-988597.0,7317186.0,2793636.0,4523550.0
June 2015,-839787.0,6896419.0,330534.0,6565885.0
September 2015,-1015008.0,7109595.0,1481897.0,5627698.0
December 2015,-690547.0,7204507.0,409408.0,6795099.0
March 2016,-525821.0,7226253.0,229106.0,6997147.0
June 2016,-3315111.0,4705953.0,241195.0,4464757.0
September 2016,-644435.0,4716031.0,165572.0,4550459.0
December 2016,-552763.0,4834419.0,227136.0,4607283.0
March 2017,-826230.0,4976616.0,191719.0,4784897.0
June 2017,-3818227.0,1927896.0,121726.0,1806170.0
September 2017,-497129.0,1938362.0,46999.0,1891363.0
December 2017,-514404.0,2085873.0,266976.0,1818897.0
March 2018,-545769.0,8455869.0,3023997.0,5431872.0
June 2018,-993325.0,10967525.0,5629606.0,5337919.0
September 2018,-583236.0,20093007.0,11940652.0,8152355.0
December 2018,-423861.0,28172736.0,16930684.0,11242052.0
March 2019,-5307682.0,31766325.0,14837063.0,16929262.0
June 2019,-6878800.0,38105165.0,16521943.0,21029136.0
September 2019,-1113410.0,30783623.0,9769400.0,21014223.0
December 2019,-153143.0,28372516.0,6726080.0,21646436.0
March 2020,-634880.0,27161209.0,5698915.0,21462294.0
June 2020,-2705371.0,20665464.0,1504160.0,19161304.0
September 2020,1077302.0,16074688.0,3640720.0,12433968.0
December 2020,-358489.0,15327088.0,2828000.0,12499088.0
March 2021,-1001019.0,14862103.0,2361124.0,12500980.0
June 2021,-364313.0,14486280.0,1958591.0,12527689.0
September 2021,-502498.0,13698485.0,1571920.0,12126565.0
December 2021,-504884.0,13368644.0,1196965.0,12171679.0
March 2022,-3852036.0,9839383.0,749724.0,9089659.0
June 2022,-272640.0,9464446.0,374968.0,9089478.0
