,NetIncomeLoss,AssetsCurrent
December 2006,-1629.642857142857,
March 2007,-1629.642857142857,
June 2007,-1629.642857142857,
September 2007,-1629.642857142857,
December 2007,-1629.642857142857,
March 2008,-1629.642857142857,
June 2008,-1629.642857142857,
September 2008,-1629.642857142857,
December 2008,-1629.642857142857,
March 2009,-1629.642857142857,
June 2009,-1629.642857142857,
September 2009,-1629.642857142857,
December 2009,-1629.642857142857,
March 2010,-5539.0,
June 2010,-11493.0,
September 2010,-5925.0,
December 2010,-1629.642857142857,414.0
March 2011,-7040.0,
June 2011,-8170.0,1716.0
September 2011,-5672.0,1137.0
