,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2018,16435250.0,5524250.0,,,
December 2018,16435250.0,5524250.0,,,
March 2019,16435250.0,5524250.0,,,
June 2019,16435250.0,5524250.0,,,
September 2019,18273500.0,11740500.0,,,
December 2019,18273500.0,11740500.0,,,
March 2020,13156000.0,11619000.0,,,
June 2020,16205000.0,-2723000.0,,,
September 2020,16805000.0,17523000.0,,,
December 2020,17471000.0,22003000.0,,,
March 2021,31142000.0,9022000.0,,,
June 2021,24398000.0,7428000.0,,,
September 2021,23158000.0,21273000.0,,,
December 2021,23814000.0,17932000.0,,,
March 2022,23083000.0,15565000.0,,,
June 2022,27688000.0,5420000.0,,,
