,NetIncomeLoss,Assets
March 2010,1898500.0,
June 2010,1898500.0,
September 2010,1828000.0,
December 2010,1715000.0,756853000.0
March 2011,2292000.0,
June 2011,2145000.0,
September 2011,1570000.0,767047000.0
December 2011,1265000.0,790738000.0
March 2012,1787000.0,774604000.0
June 2012,1849000.0,
September 2012,1721000.0,770190000.0
December 2012,1956000.0,770477000.0
March 2013,2137000.0,757099000.0
June 2013,1988000.0,738363000.0
September 2013,2033000.0,747129000.0
December 2013,1413000.0,794943000.0
March 2014,2326000.0,800035000.0
June 2014,2486000.0,819260000.0
September 2014,3455000.0,813880000.0
December 2014,2206000.0,821706000.0
March 2015,2500000.0,853630000.0
June 2015,2523000.0,868739000.0
September 2015,2430000.0,864652000.0
December 2015,3244000.0,885124000.0
March 2016,2608000.0,926729000.0
June 2016,8648000.0,924490000.0
September 2016,3876000.0,954598000.0
December 2016,3378000.0,1016185000.0
March 2017,3459000.0,1016388000.0
June 2017,3699000.0,1042907000.0
September 2017,4161000.0,1099442000.0
December 2017,551000.0,1137452000.0
March 2018,5760000.0,1166989000.0
June 2018,6111000.0,1289635000.0
September 2018,6126000.0,1341990000.0
December 2018,6827000.0,1467398000.0
March 2019,7061000.0,1558165000.0
June 2019,7468000.0,1549794000.0
September 2019,7764000.0,1598487000.0
December 2019,7548000.0,1681160000.0
March 2020,7212000.0,1815556000.0
June 2020,6541000.0,1935884000.0
September 2020,6543000.0,2076299000.0
December 2020,8132000.0,2078322000.0
March 2021,9429000.0,2103142000.0
June 2021,10757000.0,2101468000.0
September 2021,10501000.0,2155648000.0
December 2021,10073000.0,2136445000.0
March 2022,10091000.0,2054191000.0
June 2022,10738000.0,1990383000.0
