,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
June 2010,2781333.3333333335,,,
September 2010,2781333.3333333335,,,
December 2010,2781333.3333333335,,,
March 2011,1507000.0,,,
June 2011,2014000.0,,,
September 2011,2814000.0,,,
December 2011,9091000.0,,42879000.0,42431000.0
March 2012,9349000.0,,,
June 2012,20217000.0,,145978000.0,145357000.0
September 2012,13612000.0,,141200000.0,140463000.0
December 2012,18737000.0,,127380000.0,126620000.0
March 2013,18903000.0,,200556000.0,199533000.0
June 2013,21589000.0,,181022000.0,179655000.0
September 2013,28606000.0,,159247000.0,157939000.0
December 2013,23347000.0,,135578000.0,134339000.0
March 2014,49805000.0,,186154000.0,183602000.0
June 2014,37056000.0,,156140000.0,154085000.0
September 2014,36188000.0,,303331000.0,297665000.0
December 2014,44211000.0,,263902000.0,258596000.0
March 2015,44787000.0,,406531000.0,401310000.0
June 2015,56713000.0,,363377000.0,357240000.0
September 2015,62829000.0,,314867000.0,308534000.0
December 2015,72030000.0,,255281000.0,236491000.0
March 2016,87401000.0,,343977000.0,325716000.0
June 2016,91057000.0,,355937000.0,337817000.0
September 2016,101250000.0,,689594000.0,670101000.0
December 2016,136022000.0,,839845000.0,814839000.0
March 2017,136318000.0,69262000.0,761005000.0,707568000.0
June 2017,177978000.0,92979000.0,645395000.0,582420000.0
September 2017,164856000.0,83998000.0,685718000.0,621729000.0
December 2017,223693000.0,,862185000.0,787961000.0
March 2018,201796000.0,93607000.0,729692000.0,655790000.0
June 2018,212652000.0,100033000.0,810453000.0,757412000.0
September 2018,202638000.0,93497000.0,710840000.0,648378000.0
