,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2018,,,-35052.0,25.0,25.0
June 2018,,,-8474.0,7231.0,7231.0
September 2018,,,-8556.0,2446.0,2446.0
December 2018,,,-10142.0,4679.0,4679.0
March 2019,10594000.0,7243000.0,-10771000.0,4866.0,4866.0
June 2019,8673000.0,5389000.0,-11462.0,4866.0,4866.0
September 2019,8383000.0,5979000.0,-8403.0,882.0,882.0
December 2019,6402000.0,3838000.0,-11682.0,30381000.0,26238000.0
March 2020,5831000.0,3571000.0,-6402000.0,3745.0,3745.0
June 2020,5070000.0,2985000.0,-5557000.0,70449000.0,67288000.0
September 2020,8961000.0,3670000.0,-9150000.0,60690000.0,57832000.0
December 2020,7950000.0,4678000.0,-8391000.0,51911000.0,50202000.0
March 2021,7339000.0,4704000.0,-7422000.0,48198000.0,41647000.0
June 2021,55689000.0,,-55804000.0,40872000.0,34534000.0
September 2021,5854000.0,,-5975000.0,34899000.0,28572000.0
December 2021,13000000.0,,-12980000.0,153757000.0,147105000.0
March 2022,7182000.0,,-7162000.0,146564000.0,140283000.0
June 2022,8987000.0,,-8494000.0,140256000.0,134545000.0
