,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 1992,7959.9857142857145,7788.957142857143,-1860.0,,,
March 1993,7959.9857142857145,7788.957142857143,-511.5,,,
June 1993,7959.9857142857145,7788.957142857143,-511.5,,,
September 1993,7959.9857142857145,7788.957142857143,-511.5,,,
December 1993,7959.9857142857145,7788.957142857143,-511.5,,,
March 1994,7959.9857142857145,7788.957142857143,-511.5,,,
June 1994,7959.9857142857145,7788.957142857143,-511.5,,,
September 1994,7959.9857142857145,7788.957142857143,-511.5,,,
December 1994,7959.9857142857145,7788.957142857143,-511.5,,,
March 1995,7959.9857142857145,7788.957142857143,-511.5,,,
June 1995,7959.9857142857145,7788.957142857143,-511.5,,,
September 1995,7959.9857142857145,7788.957142857143,-511.5,,,
December 1995,7959.9857142857145,7788.957142857143,-511.5,,,
March 1996,7959.9857142857145,7788.957142857143,-511.5,,,
June 1996,7959.9857142857145,7788.957142857143,-511.5,,,
September 1996,7959.9857142857145,7788.957142857143,-511.5,,,
December 1996,7959.9857142857145,7788.957142857143,-511.5,,,
March 1997,7959.9857142857145,7788.957142857143,-511.5,,,
June 1997,7959.9857142857145,7788.957142857143,-511.5,,,
September 1997,7959.9857142857145,7788.957142857143,-511.5,,,
December 1997,7959.9857142857145,7788.957142857143,-511.5,,,
March 1998,7959.9857142857145,7788.957142857143,-112.5,,,
June 1998,7959.9857142857145,7788.957142857143,-112.5,,,
September 1998,7959.9857142857145,7788.957142857143,-112.5,,,
December 1998,7959.9857142857145,7788.957142857143,-112.5,,,
March 1999,7959.9857142857145,7788.957142857143,-5667.0,,,
June 1999,7959.9857142857145,7788.957142857143,-5667.0,,,
September 1999,7959.9857142857145,7788.957142857143,-5667.0,,,
December 1999,7959.9857142857145,7788.957142857143,-5667.0,,,
March 2000,7959.9857142857145,7788.957142857143,-2098.5,,,
June 2000,7959.9857142857145,7788.957142857143,-2098.5,,,
September 2000,7959.9857142857145,7788.957142857143,-2098.5,,,
December 2000,7959.9857142857145,7788.957142857143,-2098.5,,,
March 2001,7959.9857142857145,7788.957142857143,-1222.0,,,
June 2001,7959.9857142857145,7788.957142857143,-1222.0,,,
September 2001,7959.9857142857145,7788.957142857143,-1222.0,,,
December 2001,7959.9857142857145,7788.957142857143,-1222.0,,,
March 2002,7959.9857142857145,7788.957142857143,-789.0,,,
June 2002,7959.9857142857145,7788.957142857143,-789.0,,,
September 2002,7959.9857142857145,7788.957142857143,-789.0,,,
December 2002,7959.9857142857145,7788.957142857143,-789.0,,,
March 2003,7959.9857142857145,7788.957142857143,-21.25,,,
June 2003,7959.9857142857145,7788.957142857143,-21.25,,,
September 2003,7959.9857142857145,7788.957142857143,-21.25,,,
December 2003,7959.9857142857145,7788.957142857143,-21.25,,,
March 2004,7959.9857142857145,7788.957142857143,-710.0,,,
June 2004,7959.9857142857145,7788.957142857143,-710.0,,,
September 2004,7959.9857142857145,7788.957142857143,-710.0,,,
December 2004,7959.9857142857145,7788.957142857143,-710.0,,,
March 2005,7959.9857142857145,7788.957142857143,-2103.75,,,
June 2005,7959.9857142857145,7788.957142857143,-2103.75,,,
September 2005,7959.9857142857145,7788.957142857143,-2103.75,,,
December 2005,7959.9857142857145,7788.957142857143,-2103.75,,,
March 2006,7959.9857142857145,7788.957142857143,-1096.75,,,
June 2006,7959.9857142857145,7788.957142857143,-1096.75,,,
September 2006,7959.9857142857145,7788.957142857143,-1096.75,,,
December 2006,7959.9857142857145,7788.957142857143,-1096.75,,,
March 2007,7959.9857142857145,7788.957142857143,-1320.0,,,
June 2007,7959.9857142857145,7788.957142857143,-1320.0,,,
September 2007,7959.9857142857145,7788.957142857143,-1320.0,,,
December 2007,7959.9857142857145,7788.957142857143,-1320.0,,,
March 2008,7959.9857142857145,7788.957142857143,-8400.5,,,
June 2008,7959.9857142857145,7788.957142857143,-8400.5,,,
September 2008,7959.9857142857145,7788.957142857143,-8400.5,,,
December 2008,7959.9857142857145,7788.957142857143,-8400.5,,,
March 2009,7959.9857142857145,7788.957142857143,-6731.75,,,
June 2009,7959.9857142857145,7788.957142857143,-6731.75,,,
September 2009,7959.9857142857145,7788.957142857143,-6731.75,,,
December 2009,7959.9857142857145,7788.957142857143,-6731.75,,,
March 2010,40071.0,40071.0,-58821.0,,,
June 2010,40071.0,40071.0,-58821.0,,,
September 2010,101775.0,101775.0,-118342.0,,,
December 2010,7959.9857142857145,7788.957142857143,-8158272.0,23431.0,23431.0,
March 2011,397361.0,397361.0,-532106.5,,,
June 2011,397361.0,397361.0,-532106.5,,,
September 2011,301124.0,301124.0,-945414.0,8084.0,8084.0,
December 2011,-74714.0,-74714.0,233562.0,132.0,132.0,
March 2012,223999.0,223999.0,-275916.0,,,
June 2012,419773.0,419773.0,337171.0,,,
September 2012,245129.0,245129.0,-381088.0,143577.0,40536.0,103041.0
December 2012,344975.0,344975.0,-613707.0,720358.0,58864.0,
March 2013,310360.0,310360.0,-468734.0,925229.0,46517.0,
June 2013,238002.0,238002.0,-7701837.0,6047376.0,37306.0,
September 2013,155172.0,155172.0,-534488.0,6052062.0,41992.0,
