,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2012,1624250.0,1064000.0,,
June 2012,1624250.0,1064000.0,,
September 2012,1624250.0,1064000.0,,
December 2012,1624250.0,1064000.0,,
March 2013,1818000.0,963000.0,,
June 2013,2316000.0,1200000.0,,
September 2013,2309000.0,1057000.0,,
December 2013,4710000.0,3060000.0,20363000.0,17705000.0
March 2014,6049000.0,2780000.0,,
June 2014,12089000.0,7361000.0,75131000.0,70360000.0
September 2014,10540000.0,6346000.0,65872000.0,60953000.0
December 2014,10365000.0,5908000.0,60570000.0,55126000.0
March 2015,17152000.0,10251000.0,86838000.0,68963000.0
June 2015,14783000.0,4903000.0,130827000.0,114438000.0
September 2015,17254000.0,4602000.0,193958000.0,175596000.0
December 2015,25857000.0,7298000.0,172416000.0,150238000.0
March 2016,19702000.0,6119000.0,155239000.0,130417000.0
June 2016,25118000.0,8697000.0,133574000.0,108461000.0
September 2016,28409000.0,12070000.0,134073000.0,109745000.0
December 2016,24758000.0,6873000.0,114858000.0,93172000.0
March 2017,26097000.0,6520000.0,135333000.0,114889000.0
June 2017,27999000.0,4594000.0,118023000.0,97108000.0
September 2017,22485000.0,2073000.0,131187000.0,112052000.0
December 2017,17755000.0,1557000.0,119858000.0,101953000.0
March 2018,20184000.0,1303000.0,111298000.0,94704000.0
June 2018,18808000.0,999000.0,99980000.0,84701000.0
September 2018,30607000.0,956000.0,72615000.0,65933000.0
December 2018,18343000.0,278000.0,61933000.0,54517000.0
March 2019,,5000.0,264823000.0,76865000.0
June 2019,,4000.0,235573000.0,50197000.0
September 2019,,3000.0,239048000.0,56281000.0
December 2019,,10000.0,230387000.0,51628000.0
March 2020,,,229479000.0,60207000.0
