,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,3331663.0,1623663.0,5595864.0,,
June 2010,1969312.0,946624.0,-2454465.0,,
September 2010,1723421.0,776701.0,-528205.0,,
December 2010,1267169.0,391642.0,-984469.0,3567248.0,3276044.0
March 2011,1584297.0,643879.0,-1555846.0,,
June 2011,1448936.0,645231.0,-356168.0,1773038.0,1533480.0
September 2011,1174429.0,444478.0,-1174835.0,678253.0,536409.0
December 2011,1168737.0,454107.0,832002.0,1820655.0,1744884.0
March 2012,934354.0,202981.0,-933770.0,951593.0,886675.0
June 2012,1020340.0,264295.0,-995007.0,678842.0,600922.0
September 2012,1666132.0,191874.0,-1770513.0,3691339.0,234894.0
December 2012,3759384.0,167552.0,-3872954.0,198726.0,169181.0
March 2013,843217.0,83928.0,-837386.0,135279.0,105734.0
June 2013,177232.0,74993.0,-179771.0,53988.0,53988.0
September 2013,58346.0,28771.0,-101165.0,33340.0,33340.0
December 2013,59099.0,19219.0,-83135.0,51855.0,51855.0
March 2014,2412196.0,64089.0,-1380710.0,441221.0,365210.0
June 2014,287689.0,80433.0,62424.0,311848.0,239734.0
September 2014,964747.0,171832.0,-643060.0,166160.0,86133.0
December 2014,750570.0,275414.0,-746189.0,400308.0,320673.0
March 2015,670692.0,440792.0,-598132.0,395083.0,318589.0
June 2015,1072733.0,272340.0,-1249632.0,225952.0,154933.0
September 2015,2022245.0,405742.0,-2263728.0,513559.0,448015.0
December 2015,1560862.0,587729.0,-1850400.0,145842.0,85772.0
March 2016,2416776.0,917136.0,-2680951.0,137157.0,82562.0
June 2016,2349525.0,926920.0,-2731249.0,,
September 2016,2249513.0,899543.0,-2391802.0,200686.0,157040.0
December 2016,1456076.0,432608.0,-1425758.0,233847.0,195676.0
March 2017,1420685.0,384384.0,-1469144.0,411319.0,378590.0
June 2017,1549517.0,631200.0,-1584066.0,190691.0,163276.0
September 2017,593148.0,188506.0,-618542.0,183571.0,161469.0
December 2017,684061.0,295850.0,-619731.0,194770.0,176711.0
March 2018,506177.0,151334.0,-746678.0,164156.0,149833.0
June 2018,586824.0,153892.0,-635363.0,142970.0,132384.0
September 2018,503596.0,173036.0,-535774.0,203585.0,196735.0
December 2018,579927.0,210024.0,-673975.0,124190.0,121076.0
March 2019,473863.0,149350.0,-540332.0,144774.0,144774.0
June 2019,418391.0,148000.0,-477213.0,150162.0,150162.0
September 2019,430457.0,150527.0,-469844.0,106743.0,106743.0
December 2019,413793.0,151452.0,-627644.0,45328.0,45328.0
March 2020,520570.0,155290.0,-946718.0,100110.0,100110.0
June 2020,616915.0,153176.0,-816137.0,85683.0,85683.0
September 2020,1311980.0,171776.0,-1479355.0,56240.0,56240.0
December 2020,865670.0,158033.0,-1059001.0,85087.0,85087.0
March 2021,800140.0,154764.0,-850249.0,105627.0,105627.0
June 2021,663997.0,237828.0,-812214.0,142453.0,142453.0
September 2021,581309.0,157751.0,-708682.0,229981.0,229981.0
December 2021,513682.0,151700.0,-773695.0,208737.0,208737.0
March 2022,616952.0,121159.0,-860163.0,103331.0,103331.0
June 2022,352475.0,141099.0,-480288.0,77708.0,77708.0
