,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
December 2008,6448750.0,1586250.0,,
March 2009,6448750.0,1586250.0,,
June 2009,6448750.0,1586250.0,,
September 2009,6448750.0,1586250.0,,
December 2009,6041500.0,1633500.0,,
March 2010,6041500.0,1633500.0,,
June 2010,6137000.0,1745000.0,,
September 2010,5711000.0,1645000.0,84111000.0,75732000.0
December 2010,5940000.0,1567000.0,,
March 2011,6121000.0,1611000.0,,
June 2011,6089000.0,1610000.0,95734000.0,86868000.0
September 2011,6398000.0,1597000.0,131391000.0,107592000.0
December 2011,5803000.0,1641000.0,142678000.0,120244000.0
March 2012,6175000.0,1632000.0,132217000.0,110680000.0
June 2012,6288000.0,1586000.0,141130000.0,119881000.0
