,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
June 2009,10867500.0,2755250.0,,
September 2009,10867500.0,2755250.0,,
December 2009,10867500.0,2755250.0,,
March 2010,10867500.0,2755250.0,,
June 2010,13314000.0,2979000.0,,
September 2010,17127000.0,3425000.0,,
December 2010,20756000.0,4347000.0,,
March 2011,24359000.0,4831000.0,280147000.0,125534000.0
June 2011,20304000.0,4645000.0,309811000.0,133771000.0
September 2011,20013000.0,3755000.0,316598000.0,143768000.0
December 2011,22413000.0,4336000.0,298280000.0,121828000.0
March 2012,11527500.0,2449000.0,302175000.0,128245000.0
June 2012,11527500.0,2449000.0,304538000.0,130397000.0
September 2012,22705000.0,4592000.0,265332000.0,94537000.0
December 2012,1070000.0,784000.0,270425000.0,97890000.0
March 2013,45720000.0,9180000.0,273648000.0,96433000.0
June 2013,27304000.0,5544000.0,276106000.0,99544000.0
September 2013,22750000.0,4685000.0,273161000.0,102046000.0
December 2013,25239000.0,5236000.0,258869000.0,96057000.0
March 2014,22125000.0,4220000.0,247182000.0,91677000.0
June 2014,21493000.0,3718000.0,253421000.0,101013000.0
September 2014,22878000.0,6392000.0,252626000.0,103150000.0
December 2014,21618000.0,4582000.0,239714000.0,96950000.0
March 2015,24574000.0,4782000.0,229644000.0,100236000.0
June 2015,21115000.0,2818000.0,252559000.0,128224000.0
September 2015,23813000.0,3653000.0,253306000.0,134912000.0
December 2015,25669000.0,4107000.0,253955000.0,143353000.0
