,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,19226250.0,,
June 2009,19226250.0,,
September 2009,19226250.0,,
December 2009,19226250.0,,
March 2010,18517000.0,,
June 2010,18091000.0,,
September 2010,17659000.0,,
December 2010,17793000.0,376103000.0,88639000.0
March 2011,19538000.0,,
June 2011,18926000.0,587896000.0,264733000.0
September 2011,18984000.0,578104000.0,258688000.0
December 2011,19536000.0,597651000.0,273287000.0
March 2012,21343000.0,597289000.0,269527000.0
June 2012,19401000.0,595217000.0,274731000.0
September 2012,19473000.0,592885000.0,271069000.0
December 2012,19668000.0,606531000.0,281253000.0
March 2013,21465000.0,616237000.0,274202000.0
June 2013,21226000.0,621372000.0,278942000.0
September 2013,21719000.0,692253000.0,346321000.0
December 2013,22832000.0,755101000.0,354271000.0
March 2014,26285000.0,725247000.0,320654000.0
June 2014,26139000.0,822787000.0,405821000.0
September 2014,27353000.0,784461000.0,364254000.0
December 2014,27902000.0,761775000.0,339641000.0
March 2015,29677000.0,714046000.0,311969000.0
June 2015,28925000.0,682388000.0,276527000.0
September 2015,27318000.0,672906000.0,260036000.0
December 2015,27183000.0,662816000.0,251339000.0
March 2016,29532000.0,665096000.0,247393000.0
June 2016,29820000.0,626378000.0,208047000.0
September 2016,30050000.0,617622000.0,202280000.0
December 2016,31307000.0,737892000.0,327623000.0
March 2017,31461000.0,732675000.0,317838000.0
June 2017,31788000.0,732439000.0,313152000.0
September 2017,32915000.0,729860000.0,310310000.0
December 2017,31751000.0,710588000.0,306118000.0
March 2018,33523000.0,716453000.0,307549000.0
June 2018,33704000.0,700229000.0,296736000.0
September 2018,33409000.0,757319000.0,358507000.0
December 2018,33218000.0,739850000.0,350337000.0
March 2019,35860000.0,797003000.0,333850000.0
June 2019,38566000.0,949065000.0,485993000.0
September 2019,35971000.0,932344000.0,474373000.0
December 2019,36516000.0,932124000.0,475728000.0
March 2020,39675000.0,913625000.0,456562000.0
June 2020,39839000.0,1005401000.0,497116000.0
September 2020,39722000.0,1000914000.0,475353000.0
December 2020,39240000.0,1000477000.0,456337000.0
March 2021,41442000.0,852962000.0,316270000.0
June 2021,41392000.0,1010747000.0,454555000.0
September 2021,40117000.0,1008749000.0,436118000.0
December 2021,39429000.0,984557000.0,409577000.0
March 2022,40627000.0,969769000.0,395190000.0
June 2022,39386000.0,1014584000.0,437469000.0
