,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2008,281394750.0,48167500.0,,
June 2008,281394750.0,48167500.0,,
September 2008,281394750.0,48167500.0,,
December 2008,281394750.0,48167500.0,,
March 2009,287383000.0,46262000.0,,
June 2009,295623000.0,38964000.0,,
September 2009,284896000.0,38070000.0,,
December 2009,282236000.0,75029000.0,,
March 2010,301031000.0,55592000.0,,
June 2010,304288000.0,48386000.0,,
September 2010,305345000.0,45613000.0,,
December 2010,315139000.0,90276000.0,,
March 2011,319732000.0,70905000.0,,
June 2011,326708000.0,61180000.0,,
September 2011,326964000.0,56158000.0,,
December 2011,327900000.0,102000000.0,,
March 2012,343023000.0,94683000.0,,
June 2012,352755000.0,78520000.0,,
September 2012,342958000.0,82316000.0,,
December 2012,372186000.0,134010000.0,,
March 2013,362228000.0,102415000.0,,
June 2013,358670000.0,93368000.0,,
September 2013,352304000.0,92221000.0,,
December 2013,349417000.0,131516000.0,,
March 2014,359080000.0,103766000.0,,
June 2014,352165000.0,98116000.0,,
September 2014,361149000.0,92156000.0,,
