,OperatingExpenses,NetIncomeLoss
March 2011,1132.25,-1132.25
June 2011,1132.25,-1132.25
September 2011,1132.25,-1132.25
December 2011,1132.25,-1132.25
March 2012,200.0,200.0
June 2012,0.0,0.0
September 2012,1150.0,-1150.0
December 2012,-200.0,2100.0
March 2013,200.0,200.0
June 2013,316.6666666666667,0.0
September 2013,316.6666666666667,475.0
December 2013,316.6666666666667,475.0
March 2014,2350.0,2350.0
June 2014,0.0,0.0
September 2014,-4400.0,-4400.0
December 2014,13315.0,13315.0
March 2015,-6860.0,0.0
June 2015,-6860.0,0.0
September 2015,6860.0,-6860.0
December 2015,16185.0,16185.0
March 2016,2500.0,2500.0
June 2016,1500.0,-1500.0
September 2016,1500.0,-1500.0
