,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2014,1454.0,,-1413.0,,,
December 2014,1454.0,,-1413.0,,,
March 2015,1454.0,,-1413.0,,,
June 2015,1454.0,,-1413.0,34959.0,33480.0,
September 2015,28269.0,,-25700.0,23905.0,22551.0,
December 2015,26425.0,,-24704.0,6921.0,5692.0,
March 2016,23450.0,,-21791.0,5154.0,4050.0,
June 2016,17561.0,,-19562.0,3607.0,2628.0,
September 2016,14770.0,,-16829.0,11079.0,10225.0,
December 2016,18836.0,,-19344.0,16483.0,15754.0,
March 2017,21507.0,,1057.0,,,
June 2017,19392.0,,-14025.0,84216.0,82015.0,
September 2017,28083.0,,-13746.0,275072.0,271986.0,
December 2017,41506.0,,-11415.0,213634.0,210938.0,
March 2018,51055.0,,-30037.0,49584.0,47278.0,
June 2018,26424.0,,-57978.0,27647.0,25564.0,
September 2018,29691.0,,-23421.0,51951.0,50299.0,
December 2018,,,6047.0,21553.0,20166.0,
March 2019,3115584.5,1528084.5,-21725.0,15062.0,13939.0,
June 2019,3115584.5,1528084.5,-17948.0,11769.0,10911.0,
September 2019,3115584.5,1528084.5,-16011.0,6316.0,5723.0,
December 2019,3115584.5,1528084.5,6582.0,4220767.0,2011874.0,2208893.0
March 2020,3058653.0,3058653.0,-6484087.0,,,
June 2020,1638038.0,1638038.0,-1408888.0,,,
September 2020,1968005.0,1968005.0,-1849693.0,,,
December 2020,5427097.0,3036298.0,-5676224.0,9638618.0,3566914.0,6220240.0
March 2021,7906284.0,7906284.0,-8247115.0,9228121.0,3694611.0,5533510.0
June 2021,4269169.0,4269169.0,-3924343.0,15250594.0,3451328.0,11799266.0
September 2021,,,,11818706.0,8469928.0,
December 2021,5909680.0,5909680.0,-4273995.0,9033161.0,5725751.0,
March 2022,5891831.0,5891831.0,-4974830.0,9727367.0,6820478.0,
June 2022,7553431.0,7553431.0,-5672285.0,18132558.0,14440250.0,
