,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2008,53164500.0,,
June 2008,53164500.0,,
September 2008,53164500.0,,
December 2008,53164500.0,15203551000.0,5753979000.0
March 2009,49634000.0,,
June 2009,49634000.0,14741675000.0,5131994000.0
September 2009,49634000.0,14884216000.0,5285091000.0
December 2009,49634000.0,16081984000.0,5674595000.0
March 2010,55115500.0,15866558000.0,5792351000.0
June 2010,55115500.0,15671959000.0,5766470000.0
September 2010,55115500.0,16303724000.0,6334840000.0
December 2010,55115500.0,16412311000.0,5970488000.0
March 2011,60744750.0,17641206000.0,6596423000.0
June 2011,60744750.0,18526175000.0,7557079000.0
September 2011,60744750.0,18363265000.0,7334419000.0
December 2011,60744750.0,17983514000.0,6849000000.0
March 2012,66500000.0,18944000000.0,7389000000.0
June 2012,66500000.0,18921000000.0,7551000000.0
September 2012,66500000.0,19023000000.0,7650000000.0
December 2012,66500000.0,19309000000.0,7960000000.0
March 2013,60000000.0,19206000000.0,8110000000.0
June 2013,60000000.0,19199000000.0,8213000000.0
September 2013,60000000.0,19751000000.0,9582000000.0
December 2013,60000000.0,19966000000.0,9816000000.0
March 2014,56750000.0,20170000000.0,10028000000.0
June 2014,56750000.0,19936000000.0,9791000000.0
September 2014,56750000.0,19028000000.0,9152000000.0
December 2014,56750000.0,17465000000.0,8076000000.0
March 2015,54500000.0,15937000000.0,6667000000.0
June 2015,54500000.0,16348000000.0,7033000000.0
September 2015,54500000.0,16104000000.0,6969000000.0
December 2015,54500000.0,15729000000.0,6720000000.0
March 2016,55750000.0,15437000000.0,6241000000.0
June 2016,55750000.0,15222000000.0,6167000000.0
September 2016,55750000.0,15709000000.0,6185000000.0
December 2016,55750000.0,15201000000.0,6123000000.0
March 2017,56250000.0,15529000000.0,6430000000.0
June 2017,56250000.0,15922000000.0,6570000000.0
September 2017,56250000.0,16314000000.0,6912000000.0
December 2017,56250000.0,16780000000.0,7278000000.0
March 2018,58250000.0,16163000000.0,6423000000.0
June 2018,58250000.0,15523000000.0,6119000000.0
September 2018,58250000.0,15319000000.0,5940000000.0
December 2018,58250000.0,14870000000.0,5778000000.0
March 2019,55250000.0,15326000000.0,6075000000.0
June 2019,55250000.0,15187000000.0,6289000000.0
September 2019,55250000.0,14960000000.0,6245000000.0
December 2019,55250000.0,15068000000.0,6253000000.0
March 2020,53500000.0,14149000000.0,5506000000.0
June 2020,53500000.0,14263000000.0,5609000000.0
September 2020,53500000.0,14940000000.0,6031000000.0
December 2020,53500000.0,15612000000.0,6523000000.0
March 2021,59750000.0,15663000000.0,6704000000.0
June 2021,59750000.0,15580000000.0,6509000000.0
September 2021,59750000.0,15517000000.0,6577000000.0
December 2021,59750000.0,16077000000.0,6374000000.0
March 2022,,16286000000.0,6682000000.0
June 2022,,15666000000.0,6371000000.0
