,Assets,AssetsCurrent
March 2013,,
June 2013,4307669000.0,71947000.0
September 2013,4323431000.0,100473000.0
December 2013,4269519000.0,62719000.0
March 2014,4273769000.0,84720000.0
June 2014,4239935000.0,70089000.0
September 2014,4231714000.0,81053000.0
December 2014,4196063000.0,63221000.0
March 2015,4194698000.0,86152000.0
June 2015,4154723000.0,71381000.0
September 2015,4136219000.0,80764000.0
December 2015,4083017000.0,60042000.0
March 2016,4052581000.0,80125000.0
June 2016,4004208000.0,71780000.0
September 2016,3976114000.0,86456000.0
December 2016,3915058000.0,67441000.0
March 2017,3871981000.0,68936000.0
June 2017,3839160000.0,80381000.0
September 2017,3802315000.0,81985000.0
December 2017,3756488000.0,82757000.0
March 2018,3715390000.0,80015000.0
June 2018,3684372000.0,91377000.0
September 2018,3658618000.0,81330000.0
December 2018,3614120000.0,73203000.0
March 2019,4611508000.0,61007000.0
June 2019,4605388000.0,67388000.0
September 2019,4615994000.0,64130000.0
December 2019,4601457000.0,66948000.0
March 2020,4575812000.0,78786000.0
June 2020,4546295000.0,88031000.0
September 2020,4508957000.0,89420000.0
December 2020,4443032000.0,72786000.0
March 2021,4409815000.0,93164000.0
June 2021,4371167000.0,92393000.0
September 2021,4337471000.0,85520000.0
