,OperatingExpenses,NetIncomeLoss,AssetsCurrent
March 2014,-5000.0,5000.0,
June 2014,5000.0,-5000.0,
September 2014,31400.0,-31400.0,
December 2014,3450.0,-3450.0,
March 2015,5330.0,-5330.0,
June 2015,5000.0,-5000.0,
September 2015,3250.0,-3250.0,
December 2015,469.0,-469.0,0.0
March 2016,2913.0,-2913.0,0.0
June 2016,2868.0,-2868.0,
September 2016,5865.0,-5865.0,
December 2016,6037.0,-6037.0,0.0
March 2017,8465.0,-8465.0,0.0
June 2017,9268.0,9268.0,0.0
September 2017,,,
December 2017,,,
March 2018,11380.0,-11380.0,0.0
