,OperatingExpenses,Assets
March 2010,27688.0,
June 2010,34749.0,
September 2010,32739.0,
December 2010,46123.0,29097048.0
March 2011,52623.0,
June 2011,56667.0,28525252.0
September 2011,59166.0,32146741.0
December 2011,55090.0,29723855.0
March 2012,52866.0,27075697.0
June 2012,50316.0,26391350.0
September 2012,50270.0,27967511.0
December 2012,44470.0,23170299.0
March 2013,42156.0,23192640.0
June 2013,36195.0,19209573.0
September 2013,30138.0,15340345.0
December 2013,26029.0,14126391.0
March 2014,23818.0,12365455.0
June 2014,21500.0,11431786.0
September 2014,18323.0,9144908.0
