,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
June 1998,77598.93617021276,-76480.77777777778,,
September 1998,77598.93617021276,-76480.77777777778,,
December 1998,77598.93617021276,-76480.77777777778,,
March 1999,77598.93617021276,-76480.77777777778,,
June 1999,77598.93617021276,-76480.77777777778,,
September 1999,77598.93617021276,-76480.77777777778,,
December 1999,77598.93617021276,-76480.77777777778,,
March 2000,77598.93617021276,-76480.77777777778,,
June 2000,77598.93617021276,-76480.77777777778,,
September 2000,77598.93617021276,-76480.77777777778,,
December 2000,77598.93617021276,-76480.77777777778,,
March 2001,77598.93617021276,-76480.77777777778,,
June 2001,77598.93617021276,-76480.77777777778,,
September 2001,77598.93617021276,-76480.77777777778,,
December 2001,77598.93617021276,-76480.77777777778,,
March 2002,77598.93617021276,-76480.77777777778,,
June 2002,77598.93617021276,-76480.77777777778,,
September 2002,77598.93617021276,-76480.77777777778,,
December 2002,77598.93617021276,-76480.77777777778,,
March 2003,77598.93617021276,-76480.77777777778,,
June 2003,77598.93617021276,-76480.77777777778,,
September 2003,77598.93617021276,-76480.77777777778,,
December 2003,77598.93617021276,-76480.77777777778,,
March 2004,77598.93617021276,-76480.77777777778,,
June 2004,77598.93617021276,-76480.77777777778,,
September 2004,77598.93617021276,-76480.77777777778,,
December 2004,77598.93617021276,-76480.77777777778,,
March 2005,77598.93617021276,-61948.0,,
June 2005,77598.93617021276,-61948.0,,
September 2005,77598.93617021276,-61948.0,,
December 2005,77598.93617021276,-61948.0,,
March 2006,77598.93617021276,-63069.5,,
June 2006,77598.93617021276,-63069.5,,
September 2006,77598.93617021276,-63069.5,,
December 2006,77598.93617021276,-63069.5,,
March 2007,77598.93617021276,-74565.0,,
June 2007,77598.93617021276,-74565.0,,
September 2007,77598.93617021276,-74565.0,,
December 2007,77598.93617021276,-74565.0,,
March 2008,77598.93617021276,-128494.25,,
June 2008,77598.93617021276,-128494.25,,
September 2008,77598.93617021276,-128494.25,,
December 2008,77598.93617021276,-128494.25,,
March 2009,77598.93617021276,-28632.0,,
June 2009,77598.93617021276,-28632.0,,
September 2009,77598.93617021276,-28632.0,,
December 2009,77598.93617021276,-28632.0,,
March 2010,28296.0,-28296.0,,
June 2010,78098.0,-78098.0,,
September 2010,36432.5,-36432.0,,
December 2010,36432.5,-36432.0,342.0,342.0
March 2011,32957.0,-32957.0,,
June 2011,29622.0,-29622.0,3518.0,
September 2011,84744.0,-57650.0,,
December 2011,124283.0,-124283.0,635175.0,10175.0
March 2012,31165.0,-31165.0,625893.0,893.0
June 2012,25723.0,-25723.0,626040.0,1040.0
September 2012,49161.0,-49161.0,625170.0,170.0
December 2012,49161.0,-84744.0,627892.0,2892.0
March 2013,32657.0,-32657.0,625524.0,524.0
June 2013,26833.0,-26833.0,625471.0,471.0
September 2013,197324.0,-197324.0,627545.0,2545.0
December 2013,29181.0,-554181.0,5475.0,5475.0
March 2014,25830.0,-25830.0,988.0,988.0
June 2014,27662.0,-27662.0,549.0,549.0
September 2014,47752.0,-49325.0,777.0,777.0
December 2014,30748.0,-29175.0,2836.0,2836.0
March 2015,86777.0,-86777.0,1900001507.0,1507.0
June 2015,13884.0,-15872.0,1568.0,
September 2015,10678.0,-14594.0,3766.0,
December 2015,852983.0,-847079.0,842.0,842.0
March 2016,3249.0,-6249.0,903.0,903.0
June 2016,,-6296.0,1781.0,
September 2016,,-6678.0,2731.0,
December 2016,,-12317.0,362.0,
March 2017,,-34279.0,599.0,
June 2017,,-35545.0,2906.0,
September 2017,,-39561.0,1992.0,
