,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2018,13664144.75,13664144.75,-1310979.25,,
June 2018,13664144.75,13664144.75,-1310979.25,,
September 2018,13664144.75,13664144.75,-1310979.25,,
December 2018,13664144.75,13664144.75,-1310979.25,,
March 2019,26418881.0,26418881.0,-9563056.0,,
June 2019,30830482.0,30830482.0,-20892049.0,,
September 2019,30764406.0,30764406.0,-14590793.0,,
December 2019,46707231.0,46707231.0,-14070509.0,1167536624.0,109062611.0
March 2020,45434757.0,45434757.0,-4206264.0,1223014161.0,140816146.0
June 2020,49643211.0,49643211.0,-12909505.0,1240721129.0,152646580.0
September 2020,49745979.0,49745979.0,9643929.0,1254614447.0,159059237.0
December 2020,53237812.0,53237812.0,22465000.0,1358549000.0,183944000.0
March 2021,59331251.0,59331251.0,10368666.0,1549124022.0,380958639.0
June 2021,72055473.0,72055473.0,22051991.0,1792634415.0,481619548.0
September 2021,71448927.0,71448927.0,20209154.0,2150429477.0,420751239.0
December 2021,74251349.0,74251349.0,22806000.0,2385851000.0,364230000.0
March 2022,68388000.0,68388000.0,28939000.0,2397122000.0,328360000.0
June 2022,63535000.0,63535000.0,24437000.0,2436403000.0,311526000.0
