,NetIncomeLoss,Assets
March 2009,-15482.0,
June 2009,-15482.0,
September 2009,-15482.0,
December 2009,-15482.0,8268540.0
March 2010,1000.0,
June 2010,220000.0,
September 2010,591000.0,
December 2010,1414000.0,77545729.0
March 2011,1208000.0,
June 2011,1593000.0,112961609.0
September 2011,2138271.0,135899652.0
December 2011,2941000.0,166455733.0
March 2012,3320812.0,186980813.0
June 2012,3932899.0,229002223.0
September 2012,4289887.0,282637595.0
December 2012,3408000.0,344871174.0
March 2013,7298456.0,384586174.0
June 2013,6135000.0,547006728.0
September 2013,7680313.0,539428548.0
December 2013,8685000.0,570862217.0
March 2014,11800919.0,583982706.0
June 2014,11388605.0,618358965.0
September 2014,13375033.0,654562881.0
December 2014,13572000.0,682152784.0
March 2015,14260961.0,684522124.0
June 2015,14300595.0,683726611.0
September 2015,14313976.0,684059306.0
