,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2009,219137.5,,-222669.0,,,
March 2010,219137.5,,-222669.0,,,
June 2010,68946.0,,-29412.0,,,
September 2010,134097.0,,-77712.0,,,
December 2010,181210.0,,-130177.0,,,
March 2011,231578.0,,-155767.0,,,
June 2011,427325.0,,-252969.0,,,
September 2011,164024.0,,687.0,,,
December 2011,223099.0,,-118921.0,,,
March 2012,233834.0,,-232119.0,,,
June 2012,197012.0,,,,,
September 2012,172057.0,,,,,
December 2012,240402.0,,,,,
March 2013,135823.0,,,,,
June 2013,133820.0,,,,,
September 2013,141763.0,0.0,-389835.25,,,
December 2013,135280.0,0.0,-389835.25,,,
March 2014,550868.0,0.0,-389835.25,,,
June 2014,621717.0,0.0,-389835.25,,,
September 2014,398073.0,48040.0,-398073.0,2635136.0,2567474.0,67662.0
December 2014,459439.0,240.0,-528399.0,2251123.0,2198461.0,
March 2015,508504.0,107.0,-528399.0,1210500.0,1157838.0,
June 2015,602073.0,98079.0,-528399.0,1198851.0,1157896.0,40955.0
September 2015,408146.0,1978.0,-411742.0,711722.0,674733.0,36989.0
December 2015,270474.0,6851.0,-288502.3333333333,496118.0,456190.0,
March 2016,261107.0,158.0,-288502.3333333333,389435.0,337391.0,52044.0
June 2016,332625.0,37.0,-288502.3333333333,331251.0,279362.0,51889.0
September 2016,408890.0,7261.0,-403207.0,566638.0,510166.0,56472.0
December 2016,462712.0,7778.0,-403207.0,1136892.0,1067108.0,69784.0
March 2017,364156.0,8240.0,-403207.0,869119.0,803692.0,65427.0
June 2017,727596.0,30906.0,-719844.0,3144335.0,3079280.0,65055.0
September 2017,597249.0,110392.0,-578713.0,2860178.0,2795495.0,64683.0
December 2017,1536623.0,75762.0,-1378378.0,2497225.0,2417202.0,80023.0
March 2018,3562825.0,93067.0,-3424912.0,2841240.0,2745352.0,95888.0
June 2018,1320592.0,213643.0,-1227184.0,2709079.0,2587120.0,121959.0
September 2018,721442.0,96973.0,-701391.0,2431826.0,2284051.0,147775.0
December 2018,1165770.0,66083.0,-1153111.0,3544214.0,3230842.0,313372.0
March 2019,1244771.0,231035.0,-1187936.0,4273543.0,3640564.0,
June 2019,1226147.0,161639.0,-1115975.0,3457098.0,2607599.0,849499.0
September 2019,978992.0,107463.0,-924763.0,2675219.0,1818829.0,856390.0
December 2019,1046685.0,186557.0,-997492.0,2746073.0,1911485.0,834588.0
March 2020,1451757.0,24557.0,-1390653.0,1986226.0,1180043.0,806183.0
June 2020,892344.0,68497.0,-771705.0,3320262.0,2528111.0,792151.0
September 2020,944299.0,192261.0,-710121.0,2828238.0,1926211.0,902277.0
December 2020,-256754.0,176398.0,393190.0,2174320.0,1307714.0,866606.0
March 2021,2710618.0,454443.0,-2566552.0,12172408.0,10946369.0,1226039.0
June 2021,2836081.0,439793.0,-1178092.0,10547553.0,9685560.0,861993.0
September 2021,2011792.0,458709.0,-2003482.0,13266817.0,12442940.0,823877.0
December 2021,1472936.0,275686.0,-1448673.0,11745942.0,10901396.0,844546.0
March 2022,2499420.0,752095.0,-2418338.0,11414564.0,10572202.0,842362.0
