,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
December 2010,197179750.0,,
March 2011,197179750.0,,
June 2011,197179750.0,,
September 2011,197179750.0,,
December 2011,204569000.0,,
March 2012,204569000.0,,
June 2012,211779000.0,,
September 2012,211712000.0,5057247000.0,1285395000.0
December 2012,219509000.0,,
March 2013,231540000.0,,
June 2013,224689000.0,4932605000.0,1108331000.0
September 2013,234793000.0,5086178000.0,1218214000.0
December 2013,232697000.0,5153838000.0,1269535000.0
March 2014,239019000.0,5148025000.0,1282811000.0
June 2014,235544000.0,5156486000.0,1269697000.0
September 2014,245421000.0,4902561000.0,1286838000.0
December 2014,238192000.0,4873837000.0,1307682000.0
March 2015,235486000.0,4785723000.0,1317519000.0
June 2015,246938000.0,4863886000.0,1364447000.0
September 2015,257816000.0,4867168000.0,1461050000.0
December 2015,253266000.0,4903092000.0,1381924000.0
