,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,,5070500.0,,,
June 2009,,5070500.0,,,
September 2009,,5070500.0,,,
December 2009,,5070500.0,,,
March 2010,450000.0,15969000.0,,,
June 2010,450000.0,13096000.0,,,
September 2010,450000.0,6442000.0,,,
December 2010,450000.0,-12236000.0,,702846000.0,195529000.0
March 2011,546000.0,7422000.0,,,
June 2011,301000.0,7406000.0,,726233000.0,213110000.0
September 2011,618000.0,6838000.0,,571484000.0,215431000.0
December 2011,1097000.0,6166000.0,,402091000.0,110306000.0
March 2012,1078000.0,6668000.0,,320462000.0,108230000.0
June 2012,1113000.0,5595000.0,,317589000.0,107293000.0
September 2012,1063000.0,5844000.0,,311824000.0,105351000.0
December 2012,1117000.0,3238000.0,,147164000.0,106618000.0
March 2013,904000.0,4137000.0,,142548000.0,103785000.0
June 2013,709000.0,4345000.0,,139457000.0,97191000.0
September 2013,703000.0,4570000.0,,131788000.0,89431000.0
December 2013,354000.0,5270000.0,,129209000.0,86880000.0
March 2014,256000.0,2975000.0,,102326000.0,61447000.0
June 2014,295000.0,2366000.0,,94054000.0,59906000.0
September 2014,291000.0,2455000.0,,93593000.0,60268000.0
December 2014,318000.0,5036000.0,,69802000.0,49253000.0
March 2015,352000.0,2582000.0,,67886000.0,47343000.0
June 2015,360000.0,2808000.0,,65022000.0,43848000.0
September 2015,334000.0,3155000.0,,58737000.0,38846000.0
December 2015,219000.0,1641000.0,,53916000.0,35288000.0
March 2016,327000.0,1909000.0,-2947000.0,52590000.0,34062000.0
June 2016,314000.0,1782000.0,-5013000.0,48021000.0,31838000.0
September 2016,308000.0,1798000.0,-3678000.0,42028000.0,26263000.0
December 2016,267000.0,1569000.0,,36846000.0,22642000.0
March 2017,314000.0,1981000.0,-3047000.0,34546000.0,20638000.0
June 2017,236000.0,1299000.0,-284000.0,34471000.0,20248000.0
September 2017,225000.0,1554000.0,-906000.0,33785000.0,19831000.0
December 2017,-42000.0,1233000.0,-864000.0,33186000.0,18227000.0
March 2018,215000.0,1692000.0,319000.0,32683000.0,17654000.0
June 2018,190000.0,1380000.0,-3074000.0,30252000.0,16252000.0
September 2018,200000.0,1342000.0,-1303000.0,28072000.0,14823000.0
December 2018,210000.0,1214000.0,-1702000.0,27149000.0,10851000.0
March 2019,194000.0,1337000.0,-2856000.0,27454000.0,10367000.0
June 2019,189000.0,1225000.0,-2577000.0,22829000.0,5790000.0
September 2019,185000.0,1145000.0,-1446000.0,24002000.0,8379000.0
