,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,14451000.0,2271750.0,12179250.0,,
June 2009,14451000.0,2271750.0,12179250.0,,
September 2009,14451000.0,2271750.0,12179250.0,,
December 2009,14451000.0,2271750.0,12179250.0,,
March 2010,14872000.0,2473000.0,12399000.0,,
June 2010,14569000.0,2842000.0,11727000.0,,
September 2010,15080000.0,2842000.0,12238000.0,,
December 2010,16589000.0,3918000.0,12671000.0,172295000.0,111525000.0
March 2011,17201000.0,3252000.0,13949000.0,,
June 2011,16018000.0,3143000.0,12875000.0,167908000.0,104105000.0
September 2011,16148000.0,3364000.0,12784000.0,156496000.0,99038000.0
December 2011,17076000.0,3780000.0,13296000.0,159470000.0,96673000.0
March 2012,19793000.0,4510000.0,15283000.0,166105000.0,91335000.0
June 2012,21486000.0,4780000.0,16706000.0,171861000.0,110071000.0
September 2012,32947000.0,7625000.0,25322000.0,274110000.0,91947000.0
December 2012,29957000.0,8859000.0,21098000.0,247059000.0,93485000.0
March 2013,29369000.0,7679000.0,21690000.0,242709000.0,86049000.0
June 2013,26591000.0,7842000.0,18749000.0,243211000.0,93105000.0
September 2013,23794000.0,7490000.0,18784000.0,237703000.0,91834000.0
December 2013,27964000.0,8134000.0,20530000.0,241798000.0,96759000.0
March 2014,31428000.0,8823000.0,22605000.0,240913000.0,91463000.0
June 2014,27979000.0,9183000.0,18796000.0,251640000.0,111152000.0
September 2014,28004000.0,9092000.0,18712000.0,269254000.0,126616000.0
December 2014,28857000.0,10200000.0,18457000.0,288270000.0,133711000.0
March 2015,29411000.0,9628000.0,19783000.0,285677000.0,128154000.0
June 2015,27797000.0,9611000.0,18186000.0,274950000.0,122131000.0
September 2015,30268000.0,9320000.0,21348000.0,280291000.0,127617000.0
December 2015,47365000.0,14426000.0,32959000.0,407940000.0,84304000.0
March 2016,37196000.0,12687000.0,24509000.0,397236000.0,80203000.0
June 2016,33383000.0,12612000.0,20771000.0,384282000.0,72635000.0
September 2016,39772000.0,13489000.0,26283000.0,391677000.0,76788000.0
