,NetIncomeLoss,Assets
March 2015,-168000.0,
June 2015,-111000.0,
September 2015,-107000.0,
December 2015,-316000.0,98656000.0
March 2016,-133000.0,100058000.0
June 2016,-153000.0,107300000.0
September 2016,-123000.0,108096000.0
December 2016,-50000.0,109390000.0
March 2017,-115000.0,113989000.0
June 2017,-137000.0,112797000.0
September 2017,-111000.0,112487000.0
December 2017,-171000.0,110293000.0
March 2018,-101000.0,107947000.0
June 2018,-675000.0,109762000.0
September 2018,-100000.0,110428000.0
December 2018,-133000.0,109375000.0
March 2019,-130000.0,111298000.0
