,OperatingExpenses,Assets
March 2009,3932177.75,
June 2009,3932177.75,
September 2009,3932177.75,
December 2009,3932177.75,
March 2010,4874939.0,
June 2010,5619329.0,
September 2010,6349838.0,
December 2010,7514515.0,384548028.0
March 2011,6270671.0,
June 2011,6077381.0,383510301.0
September 2011,7426022.0,402616036.0
December 2011,3278388.0,407205028.0
March 2012,3823483.0,381671334.0
June 2012,3698383.0,346573576.0
September 2012,3323973.0,315917332.0
December 2012,3122931.0,282611067.0
March 2013,2667318.0,246220812.0
June 2013,2329548.0,207172683.0
September 2013,1854483.0,164772575.0
December 2013,1700481.0,142420877.0
March 2014,1068849.0,120920079.0
