,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,8922750.0,,,
June 2009,8922750.0,,,
September 2009,8922750.0,,,
December 2009,8922750.0,,,
March 2010,7793000.0,,,
June 2010,7980000.0,,,
September 2010,8180000.0,,,
December 2010,9272000.0,,110861000.0,97665000.0
March 2011,10091000.0,,,
June 2011,9879000.0,,121372000.0,87351000.0
September 2011,9611000.0,,131079000.0,108245000.0
December 2011,10283000.0,,142998000.0,128995000.0
March 2012,11929000.0,,146581000.0,130445000.0
June 2012,11579000.0,,158979000.0,142489000.0
September 2012,12267000.0,,173173000.0,154766000.0
December 2012,13329000.0,,153734000.0,130209000.0
March 2013,13663000.0,,157000000.0,132639000.0
June 2013,13800000.0,,167657000.0,142721000.0
September 2013,14726000.0,,176700000.0,148954000.0
December 2013,24144000.0,,177034000.0,144992000.0
March 2014,14005000.0,,173337000.0,139888000.0
June 2014,12630000.0,,177950000.0,146488000.0
September 2014,14742000.0,,179345000.0,145208000.0
December 2014,14687000.0,,185921000.0,148520000.0
March 2015,19118000.0,-8327000.0,201970000.0,175044000.0
June 2015,13480000.0,-8327000.0,192525000.0,162393000.0
September 2015,13480000.0,-8327000.0,178343000.0,142005000.0
December 2015,13720000.0,-8327000.0,184617000.0,142950000.0
March 2016,15610000.0,-6351000.0,177721000.0,136557000.0
June 2016,14948000.0,-6100000.0,180089000.0,139017000.0
September 2016,14746000.0,-2820000.0,191951000.0,144349000.0
December 2016,16419000.0,1352000.0,201114000.0,145964000.0
March 2017,14874000.0,-806000.0,201874000.0,142094000.0
June 2017,15781000.0,-2739000.0,212930000.0,154504000.0
September 2017,17212000.0,-2191000.0,222984000.0,166051000.0
December 2017,14944000.0,1879000.0,231617000.0,174260000.0
March 2018,16807000.0,-3775000.0,242939000.0,190989000.0
June 2018,15312000.0,8317000.0,269016000.0,215376000.0
September 2018,15433000.0,12225000.0,300366000.0,246702000.0
December 2018,16648000.0,8910000.0,334372000.0,274836000.0
March 2019,15054000.0,12999000.0,392790000.0,280651000.0
June 2019,15318000.0,15987000.0,426163000.0,312226000.0
September 2019,16457000.0,18694000.0,460411000.0,345036000.0
