,OperatingExpenses,Assets
March 2010,1534220.0,
June 2010,1751664.0,
September 2010,2338544.0,
December 2010,2840394.0,171052375.0
March 2011,2477741.0,
June 2011,2713024.0,194731374.0
September 2011,2833047.0,201266981.0
December 2011,2541407.0,174892163.0
March 2012,2364833.0,170185613.0
June 2012,1859018.0,147029236.0
September 2012,2057675.0,142588330.0
December 2012,2016972.0,117691901.0
March 2013,825365.0,105321780.0
June 2013,741119.0,88545654.0
September 2013,652093.0,78552249.0
December 2013,647179.0,78438748.0
March 2014,579367.0,68524883.0
June 2014,543405.0,62996483.0
September 2014,542656.0,68610471.0
December 2014,2456466.0,81265280.0
March 2015,2077542.0,84552209.0
June 2015,693428.0,78655220.0
September 2015,662691.0,79788204.0
December 2015,657047.0,77477873.0
March 2016,611237.0,73590187.0
June 2016,618326.0,71483347.0
September 2016,547033.0,59395971.0
December 2016,570111.0,63861796.0
March 2017,504907.0,55625679.0
June 2017,441861.0,50463415.0
September 2017,333909.0,48986628.0
December 2017,258664.0,37283785.0
March 2018,251679.0,37054825.0
June 2018,246097.0,35430490.0
September 2018,264583.0,34802539.0
December 2018,264480.0,28161694.0
March 2019,196018.0,27534153.0
June 2019,207728.0,27901447.0
September 2019,252942.0,29181456.0
December 2019,212966.0,27585512.0
March 2020,263984.0,28223024.0
June 2020,200698.0,27393851.0
September 2020,465329.0,28692846.0
December 2020,428371.0,29071988.0
March 2021,543139.0,30379401.0
June 2021,317164.0,30035628.0
September 2021,243629.0,28835340.0
December 2021,205080.0,28172703.0
March 2022,900550.0,32024394.0
June 2022,936846.0,33554134.0
