,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2007,131990250.0,,,
June 2007,131990250.0,,,
September 2007,131990250.0,,,
December 2007,131990250.0,,,
March 2008,136706000.0,,,
June 2008,207957000.0,,,
September 2008,181891000.0,,,
December 2008,189507000.0,6423577000.0,4668518000.0,
March 2009,204800000.0,6719520000.0,4958845000.0,
June 2009,169270000.0,6907900000.0,4907979000.0,
September 2009,162100000.0,7065317000.0,4910972000.0,
December 2009,148700000.0,7178483000.0,5122088000.0,
March 2010,136635000.0,7253826000.0,5252447000.0,
June 2010,157375000.0,7267885000.0,5201409000.0,
September 2010,-53636000.0,7692410000.0,5564114000.0,
December 2010,117100000.0,7614900000.0,5562825000.0,
March 2011,139700000.0,7550208000.0,5450396000.0,
June 2011,165499000.0,7669039000.0,5592494000.0,
September 2011,135362000.0,8189819000.0,6049361000.0,
December 2011,153100000.0,8268364000.0,5880623000.0,
March 2012,154882000.0,8521177000.0,6164929000.0,
June 2012,161190000.0,8392136000.0,6171173000.0,
September 2012,144600000.0,8769440000.0,6518107000.0,
December 2012,-4400000.0,8276043000.0,6094137000.0,
March 2013,166458000.0,8463034000.0,6260805000.0,
June 2013,161412000.0,8367597000.0,6186539000.0,
September 2013,,8727168000.0,6441354000.0,
December 2013,,8323850000.0,6003683000.0,
March 2014,,7991937000.0,5614751000.0,
June 2014,,8398951000.0,6004845000.0,
September 2014,,8048705000.0,5659480000.0,
December 2014,,8194429000.0,5758047000.0,
March 2015,,7619196000.0,5379253000.0,
June 2015,,7560373000.0,5202717000.0,
September 2015,,7599361000.0,5229758000.0,
December 2015,,7625406000.0,5105400000.0,
March 2016,70350250.0,9001727000.0,5402869000.0,
June 2016,70350250.0,9241467000.0,5651240000.0,
September 2016,70350250.0,9316606000.0,5741578000.0,
December 2016,70350250.0,9216417000.0,5610270000.0,
March 2017,47844250.0,9160335000.0,5560338000.0,
June 2017,47844250.0,9221808000.0,5613818000.0,
September 2017,47844250.0,9193527000.0,5514894000.0,
December 2017,47844250.0,9327692000.0,5601257000.0,
March 2018,-26285000.0,9425226000.0,5694762000.0,
June 2018,77420000.0,9119217000.0,5455836000.0,
September 2018,77345000.0,9147976000.0,5584161000.0,
December 2018,48244000.0,8882555000.0,5370603000.0,
March 2019,-68900000.0,9041714000.0,5242608000.0,
June 2019,-414021000.0,8973874000.0,5157552000.0,
September 2019,-741984000.0,7883707000.0,5322888000.0,
December 2019,-296200000.0,7966658000.0,5516272000.0,2557925000.0
March 2020,-266000000.0,7292469000.0,5129489000.0,2162980000.0
June 2020,-24990000.0,7240774000.0,5027386000.0,2213388000.0
September 2020,19341000.0,7271650000.0,5010399000.0,2261251000.0
December 2020,-163000000.0,7309812000.0,5034009000.0,2275803000.0
March 2021,-87024000.0,7020915000.0,5169537000.0,1851378000.0
June 2021,-115000000.0,7856477000.0,5926159000.0,1930318000.0
September 2021,40469000.0,7258083000.0,5281385000.0,1976698000.0
December 2021,-279000000.0,7279563000.0,5562642000.0,1716921000.0
March 2022,48000000.0,6492000000.0,4557000000.0,1935000000.0
June 2022,66000000.0,6525000000.0,4642000000.0,1883000000.0
