,OperatingExpenses,Assets
March 2014,19891750.0,
June 2014,19891750.0,
September 2014,19891750.0,
December 2014,19891750.0,
March 2015,16303250.0,
June 2015,16303250.0,
September 2015,16303250.0,
December 2015,16303250.0,7775777000.0
March 2016,15340000.0,
June 2016,13198000.0,
September 2016,13472000.0,
December 2016,15017000.0,7633046000.0
March 2017,18222000.0,7925008000.0
June 2017,13378000.0,8058538000.0
September 2017,16076000.0,8278466000.0
December 2017,18277000.0,8486305000.0
March 2018,15727000.0,8389663000.0
June 2018,16181000.0,8402846000.0
September 2018,18764000.0,8519367000.0
December 2018,15328000.0,8130125000.0
March 2019,18890000.0,8757038000.0
June 2019,19624000.0,9065749000.0
September 2019,19000000.0,9241155000.0
December 2019,23486000.0,9957000000.0
March 2020,19000000.0,9644000000.0
June 2020,21000000.0,10204000000.0
September 2020,17000000.0,10737000000.0
December 2020,20000000.0,11502000000.0
March 2021,19000000.0,11665000000.0
June 2021,21000000.0,12514000000.0
September 2021,17000000.0,12487000000.0
December 2021,20000000.0,12978000000.0
March 2022,19000000.0,12224000000.0
June 2022,17000000.0,11335000000.0
