,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,,,-461037.0,,,
June 2010,,,-448834.0,,,
September 2010,,,-727674.0,,,
December 2010,,,-723306.0,345316.0,147563.0,
March 2011,,11050.5,-1327987.0,,,
June 2011,,11050.5,381450.0,891742.0,726742.0,
September 2011,,11050.5,-1171559.0,1976242.0,1789489.0,
December 2011,,11050.5,-429397.0,2175964.0,2000191.0,
March 2012,,2537.5,-983959.0,988204.0,859815.0,
June 2012,,2537.5,-235405.0,,,
September 2012,,2537.5,-600606.0,1110139.0,996962.0,
December 2012,,2537.5,-661758.0,812101.0,706418.0,
March 2013,,4637.0,-1045767.0,1992636.0,1900404.0,
June 2013,,4637.0,-708992.0,1579120.0,1500341.0,
September 2013,,4637.0,-323986.0,1138348.0,1029747.0,
December 2013,,4637.0,-715165.0,727556.0,629284.0,
March 2014,,14316.75,-1017230.0,1080764.0,984708.0,
June 2014,,14316.75,-900016.0,840065.0,755940.0,
September 2014,,14316.75,-555864.0,1358077.0,1261167.0,
December 2014,,14316.75,-673192.0,2374468.0,2084118.0,
March 2015,,222.0,-459225.0,2251659.0,1935713.0,
June 2015,,222.0,-603421.0,1809643.0,1360309.0,
September 2015,,222.0,-530153.0,1808086.0,1373926.0,
December 2015,,222.0,-246734.0,1906147.0,1360088.0,
March 2016,,864.75,-737292.0,1587761.0,1133968.0,
June 2016,,864.75,-614460.0,1871377.0,1420231.0,
September 2016,,864.75,-609564.0,1869854.0,1308075.0,
December 2016,,864.75,-672200.0,2057590.0,1535601.0,
March 2017,,443.0,-619573.0,1478658.0,976244.0,
June 2017,,443.0,-604332.0,1960804.0,1478518.0,
September 2017,,443.0,-566199.0,2135708.0,1673268.0,
December 2017,,443.0,-1251326.0,3242574.0,2784595.0,
March 2018,,896.25,-1011607.0,2283530.0,1868708.0,
June 2018,,896.25,-774271.0,2233720.0,1787427.0,
September 2018,,896.25,-606556.0,2619635.0,2145787.0,
December 2018,,896.25,-1206346.0,3487192.0,2921763.0,432194.0
March 2019,779448.25,103147.5,-949631.0,4098602.0,2864404.0,
June 2019,779448.25,103147.5,-983874.0,10092139.0,9218303.0,
September 2019,779448.25,103147.5,-610363.0,9021304.0,8263003.0,
December 2019,779448.25,103147.5,-1390054.0,7286999.0,6605556.0,262023.0
March 2020,902000.0,65402.75,-942521.0,7014154.0,6320263.0,279525.0
June 2020,888456.0,65402.75,-833957.0,5952478.0,5354373.0,304660.0
September 2020,906962.0,65402.75,-1100023.0,18841378.0,15822538.0,
December 2020,1799242.0,65402.75,-2336524.0,32902759.0,29903431.0,
March 2021,1103000.0,90146.5,-1251000.0,34464347.0,31492321.0,
June 2021,1369010.0,90146.5,-1641788.0,33340200.0,30349931.0,
September 2021,1481306.0,90146.5,-1688631.0,31091612.0,27912646.0,
December 2021,1674358.0,90146.5,-2014620.0,30657987.0,27566820.0,
March 2022,1975000.0,,-2278000.0,46510000.0,27968000.0,
June 2022,2490000.0,,-2803000.0,45722000.0,27223000.0,
