,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2018,0.0,0.0,,,
December 2018,0.0,0.0,,,
March 2019,12.0,-12.0,,,
June 2019,,-15413.0,,,
September 2019,292191.0,-274701.0,,,
December 2019,310720.0,-310342.0,,,
March 2020,174206.0,-157747.0,,,
June 2020,,-54230.0,,,
September 2020,62025.0,-35341.0,,,
December 2020,62041.0,-51012.0,,,
March 2021,135299.0,-133623.0,,,
June 2021,,-118375.0,,,
September 2021,,-30669.0,,,
December 2021,,-74758.0,,,
March 2022,,-158104.0,,,
