,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2019,5001000.0,4366000.0,-5000000.0,,
June 2019,7367000.0,6500000.0,-7309000.0,,
September 2019,7898000.0,6890000.0,-7865000.0,,
December 2019,8024000.0,6560000.0,-7869000.0,38533000.0,33453000.0
March 2020,15443000.0,12954000.0,-15311000.0,,
June 2020,15323000.0,12836000.0,-15379000.0,172660000.0,165638000.0
September 2020,16823000.0,13395000.0,-16793000.0,157821000.0,149149000.0
December 2020,19093000.0,14751000.0,-19081000.0,140183000.0,131501000.0
March 2021,20480000.0,14881000.0,-20462000.0,126404000.0,111965000.0
June 2021,23627000.0,16534000.0,-23630000.0,224267000.0,205908000.0
September 2021,25991000.0,18350000.0,-25992000.0,207056000.0,187661000.0
December 2021,30691000.0,21683000.0,-30203000.0,214038000.0,167100000.0
March 2022,42576000.0,31239000.0,-42575000.0,181689000.0,133182000.0
June 2022,36022000.0,25909000.0,-35945000.0,147262000.0,101308000.0
