,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,1051808.0,-74976.0,,,
June 2010,1367449.0,263897.0,,,
September 2010,1254429.0,311406.0,,,
December 2010,1670876.0,972598.0,,3850878.0,9445527.0
March 2011,1192509.0,-36298.0,,,
June 2011,1732223.0,276139.0,,3688492.0,9756187.0
September 2011,1458146.0,144871.0,,2946626.0,8530685.0
December 2011,1184777.0,19784.0,8472716.0,2948263.0,8472716.0
March 2012,1210450.0,47351.0,8102488.0,2641600.0,
June 2012,1580908.0,266422.0,8490494.0,3117693.0,
September 2012,1557300.0,195999.0,8188657.0,2899212.0,
December 2012,1365885.0,39739.0,8435395.0,3375240.0,
March 2013,927618.0,56953.0,8429378.0,2947684.0,
June 2013,1775176.0,234535.0,8812010.0,3344519.0,
September 2013,1435146.0,-1367805.0,8166277.0,3853885.0,
December 2013,1467154.0,-746775.0,7368779.0,2768255.0,
March 2014,1212695.0,11869.0,7179699.0,3160915.0,
June 2014,2031854.0,209160.0,8090994.0,4152679.0,
September 2014,1882667.0,179871.0,8175633.0,4373891.0,
December 2014,1965438.0,-267153.0,6705944.0,3633080.0,
March 2015,1338714.0,-136592.0,5652970.0,2489114.0,
June 2015,1939103.0,427709.0,6777935.0,4124044.0,
September 2015,1833063.0,104729.0,7647364.0,4804003.0,
December 2015,1557653.0,299362.0,6242914.0,3657961.0,
March 2016,1328612.0,186366.0,6193320.0,3707126.0,
June 2016,1668176.0,200502.0,6252700.0,3916193.0,
September 2016,1747290.0,280384.0,6874353.0,4627615.0,
December 2016,1559933.0,213178.0,6966803.0,4487155.0,
March 2017,888761.0,-152119.0,6174746.0,3830394.0,
June 2017,1496942.0,228286.0,6509934.0,4437974.0,
September 2017,1533689.0,232064.0,6694307.0,4799571.0,
December 2017,1391815.0,169397.0,6548662.0,4627988.0,
March 2018,904195.0,-223563.0,6091341.0,4305667.0,
June 2018,1192284.0,209653.0,6292777.0,4506887.0,
September 2018,1265730.0,214111.0,6346488.0,4693572.0,
December 2018,1197369.0,111335.0,6341386.0,4693802.0,
March 2019,831956.0,52336.0,6727784.0,4682976.0,
June 2019,1284490.0,226189.0,6900738.0,4862151.0,
September 2019,1284521.0,277882.0,7161406.0,5048623.0,
December 2019,1268130.0,111237.0,7257417.0,5210212.0,
March 2020,693577.0,-96140.0,6531920.0,4512610.0,
June 2020,375125.0,-754935.0,5790230.0,3803781.0,
September 2020,807505.0,6364.0,5883793.0,3930214.0,
December 2020,595996.0,-904217.0,4995010.0,3537931.0,
March 2021,499544.0,-265666.0,4791118.0,3358138.0,
June 2021,404756.0,577164.0,5115780.0,3636309.0,
September 2021,462903.0,197078.0,5342346.0,3891979.0,
December 2021,541929.0,217608.0,5601836.0,4194715.0,
March 2022,692517.0,-31152.0,5944802.0,4570772.0,
June 2022,1338177.0,722042.0,6556280.0,5213771.0,
